Title,Movie Info,Distributor,Release Date,Domestic Sales (in $),International Sales (in $),World Sales (in $),Genre,Movie Runtime,License,Release Year
Chicken L,"After ruining his reputation with the town, a courageous chicken must come to the rescue of his fellow citizens when aliens start an invasion.",Walt Disney Studios Motion Pictures,"November 4, 2005",135386665,179046172,314432837,adventure animation comedy family fantasy scifi,1 hr 21 min,G,ttle
Teenage Mutant Ninja Tu,Four teenage mutant ninja turtles emerge from the shadows to protect New York City from a gang of criminal ninjas.,New Line Cinema,"March 30, 1990",135265915,66700000,201965915,action adventure comedy family scifi,1 hr 33 min,,tles
Patch ,"The true story of a heroic man, Hunter ""Patch"" Adams, determined to become a medical doctor because he enjoys helping people. He ventured where no doctor had ventured before, using humour and pathos.",Universal Pictures,"December 25, 1998",135026902,67266000,202292902,biography comedy drama romance,1 hr 55 min,PG-13,dams
The Godf,"The Godfather follows Vito Corleone, Don of the Corleone family, as he passes the mantel to his unwilling son, Michael.",Paramount Pictures,"March 15, 1972",134966411,111154575,246120986,crime drama,2 hr 55 min,,ther
Ride ,"Security guard Ben must prove himself to his girlfriend's brother, top police officer James. He rides along James on a 24-hour patrol of Atlanta.",Universal Pictures,"January 17, 2014",134938200,19530702,154468902,action comedy crime,1 hr 39 min,PG-13,long
The Incredible,"Bruce Banner, a scientist on the run from the U.S. Government, must find a cure for the monster he turns into whenever he loses his temper.",Universal Pictures,"June 11, 2008",134806913,129964083,264770996,action adventure scifi,1 hr 52 min,PG-13,Hulk
Live Free or Die,John McClane and a young hacker join forces to take down master cyber-terrorist Thomas Gabriel in Washington D.C.,Twentieth Century Fox,"June 26, 2007",134529403,253626608,388156011,action thriller,2 hr 8 min,PG-13,Hard
W,"A frustrated office worker discovers that he is the son of a professional assassin, and that he shares his father's superhuman killing abilities.",Universal Pictures,"June 26, 2008",134508551,207954512,342463063,action crime thriller,1 hr 50 min,R,nted
Identity ,Mild mannered businessman Sandy Patterson travels from Denver to Florida to confront the deceptively harmless looking woman who has been living it up after stealing Sandy's identity.,Universal Pictures,"February 7, 2013",134506920,39458090,173965010,comedy crime drama,1 hr 51 min,R,hief
Sup,"An alien orphan is sent from his dying planet to Earth, where he grows up to become his adoptive home's first and greatest superhero.",Warner Bros.,"December 15, 1978",134451603,166000000,300451603,action adventure scifi,2 hr 23 min,PG,rman
The,"A mild-mannered chemist and an ex-con must lead the counterstrike when a rogue group of military men, led by a renegade general, threaten a nerve gas attack from Alcatraz against San Francisco.",Walt Disney Studios Motion Pictures,"June 7, 1996",134069511,200993110,335062621,action adventure thriller,2 hr 16 min,R,Rock
Mission: Impossibl,IMF agent Ethan Hunt comes into conflict with a dangerous and sadistic arms dealer who threatens his life and his fiancée in response.,Paramount Pictures,"May 3, 2006",134029801,264449696,398479497,action adventure thriller,2 hr 6 min,PG-13, III
Grown ,"After moving his family back to his hometown to be with his friends and their kids, Lenny finds out that between old bullies, new bullies, schizo bus drivers, drunk cops on skis, and four hundred costumed party crashers sometimes crazy follows you.",Sony Pictures Entertainment (SPE),"July 11, 2013",133668525,113315753,246984278,comedy,1 hr 41 min,PG-13,ps 2
,"An adaptation of Homer's great epic, the film follows the assault on Troy by the united Greek forces and chronicles the fates of the men involved.",Warner Bros.,"May 12, 2004",133378256,364031596,497409852,drama history,2 hr 43 min,R,Troy
Angels & D,Harvard symbologist Robert Langdon works with a nuclear physicist to solve a murder and prevent a terrorist act against the Vatican during one of the significant events within the church.,Sony Pictures Entertainment (SPE),"May 13, 2009",133375846,352554970,485930816,action mystery thriller,2 hr 18 min,PG-13,mons
Alvin and the Chipmunks: Chipwr,"Playing around while aboard a cruise ship, the Chipmunks and Chipettes accidentally go overboard and end up marooned in a tropical paradise. They discover their new turf is not as deserted as it seems.",Twentieth Century Fox,"December 14, 2011",133110742,209584693,342695435,adventure animation comedy family fantasy music musical,1 hr 27 min,G,cked
Bringing Down the ,"When a lonely guy meets a woman on the internet who happens to be in prison, she breaks out to get him to prove her innocence, and proceeds to wreak havoc on his middle-class life.",Walt Disney Studios Motion Pictures,"March 7, 2003",132716677,32013002,164729679,comedy,1 hr 45 min,PG-13,ouse
The Wolv,"Wolverine comes to Japan to meet an old friend whose life he saved years ago, and gets embroiled in a conspiracy involving yakuza and mutants.",Twentieth Century Fox,"July 24, 2013",132556852,282271394,414828246,action scifi,2 hr 6 min,PG-13,rine
W,"Based on the New York Times bestseller, this movie tells the incredibly inspiring and heartwarming story of August Pullman, a boy with facial differences who enters the fifth grade, attending a mainstream elementary school for the first time.",Lionsgate,,132422809,173786480,306209289,drama family,1 hr 53 min,,nder
The Dep,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,Warner Bros.,"October 5, 2006",132384315,159081058,291465373,crime drama thriller,2 hr 31 min,R,rted
,"Bruce Banner, a genetics researcher with a tragic past, suffers an accident that causes him to transform into a raging green monster when he gets angry.",Universal Pictures,"June 19, 2003",132177234,113107931,245285165,action scifi,2 hr 18 min,PG-13,Hulk
Silver Linings Pla,"After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own.",The Weinstein Company,"November 16, 2012",132092958,104319495,236412453,comedy drama romance,2 hr 2 min,R,book
Minority R,"In a future where a special police unit is able to arrest murderers before they commit their crimes, an officer from that unit is himself accused of a future murder.",Twentieth Century Fox,"June 20, 2002",132072926,226300000,358372926,action crime mystery scifi thriller,2 hr 25 min,PG-13,port
Fantastic 4: Rise of the Silver S,The Fantastic Four learn that they aren't the only super-powered beings in the universe when they square off against the powerful Silver Surfer and the planet-eating Galactus.,Twentieth Century Fox,"June 13, 2007",131921738,169991393,301913131,action adventure fantasy scifi,1 hr 32 min,PG,rfer
The Last Airb,"Follows the adventures of Aang, a young successor to a long line of Avatars, who must master all four elements and stop the Fire Nation from enslaving the Water Tribes and the Earth Kingdom.",Paramount Pictures,"July 1, 2010",131772187,187941694,319713881,action adventure family fantasy,1 hr 43 min,PG,nder
,"It's a jungle out there for Blu, Jewel, and their three kids after they're hurtled from Rio de Janeiro to the wilds of the Amazon. As Blu tries to fit in, he goes beak-to-beak with the vengeful Nigel and meets his father-in-law.",Twentieth Century Fox,"March 20, 2014",131538435,367242682,498781117,adventure animation comedy family music musical,1 hr 41 min,G,io 2
Lara Croft: Tomb R,Video game adventurer Lara Croft comes to life in a movie where she races against time and villains to recover powerful ancient artifacts.,Paramount Pictures,"June 15, 2001",131168070,143535270,274703340,action adventure fantasy thriller,1 hr 40 min,PG-13,ider
The Silence of the ,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",Orion Pictures,"February 14, 1991",130742922,142000000,272742922,crime drama horror thriller,1 hr 58 min,,ambs
The Flints,"In a parallel modern-day Stone Age world, a working-class family, the Flintstones, are set up for an executive job. But they learn that money can't buy happiness.",Universal Pictures,"May 27, 1994",130531208,211100000,341631208,comedy family fantasy,1 hr 31 min,PG,ones
Lethal Wea,"With personal crises and age weighing in on them, LAPD officers Riggs and Murtaugh must contend with deadly Chinese triads that are trying to free their former leaders out of prison and onto American soil.",Warner Bros.,"July 10, 1998",130444603,155000000,285444603,action crime thriller,2 hr 7 min,R,on 4
Get ,"Maxwell Smart, a highly intellectual but bumbling spy working for the CONTROL agency, is tasked with preventing a terrorist attack from rival spy agency KAOS.",Warner Bros.,"June 19, 2008",130319208,100366245,230685453,action adventure comedy,1 hr 50 min,PG-13,mart
The Divergent Series: Insu,Beatrice Prior must confront her inner demons and continue her fight against a powerful alliance which threatens to tear her society apart with the help from others on her side.,Lionsgate,"March 18, 2015",130179072,166823455,297002527,action adventure scifi thriller,1 hr 59 min,PG-13,gent
The Peanuts ,"Snoopy embarks upon his greatest mission as he and his team take to the skies to pursue their archnemesis, while his best pal Charlie Brown begins his own epic quest back home to win the love of his life.",Twentieth Century Fox,"October 29, 2015",130178411,116054702,246233113,adventure animation comedy drama family,1 hr 28 min,G,ovie
Transformers: The Last K,"A deadly threat from Earth's history reappears and a hunt for a lost artifact takes place between Autobots and Decepticons, while Optimus Prime encounters his creator in space.",Paramount Pictures,"June 21, 2017",130168683,475256474,605425157,action adventure scifi,2 hr 34 min,PG-13,ight
American Gan,"An outcast New York City cop is charged with bringing down Harlem drug lord Frank Lucas, whose real life inspired this partly biographical film.",Universal Pictures,"November 2, 2007",130164645,139590785,269755430,biography crime drama,2 hr 37 min,R,ster
American B,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,DreamWorks Distribution,"September 15, 1999",130096601,226200000,356296601,drama,2 hr 2 min,R,auty
The,A journalist must investigate a mysterious videotape which seems to cause the death of anyone one week to the day after they view it.,DreamWorks Distribution,"October 18, 2002",129128133,120220800,249348933,horror mystery,1 hr 55 min,PG-13,Ring
The Nutty Prof,Grossly overweight yet good-hearted professor Sherman Klump takes a special chemical that turns him into the slim but obnoxious Buddy Love.,Universal Pictures,"June 28, 1996",128814019,145147000,273961019,comedy romance scifi,1 hr 35 min,PG-13,ssor
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazak,"Kazakh TV talking head Borat is dispatched to the United States to report on the greatest country in the world. With a documentary crew in tow, Borat becomes more interested in locating and marrying Pamela Anderson.",Twentieth Century Fox,"February 23, 2006",128505958,134046935,262552893,comedy,1 hr 24 min,R,stan
Ghostbu,"Following a ghost invasion of Manhattan, paranormal enthusiasts Erin Gilbert and Abby Yates, nuclear engineer Jillian Holtzmann, and subway worker Patty Tolan band together to stop the otherworldly threat.",Sony Pictures Entertainment (SPE),"July 11, 2016",128350574,100796935,229147509,action comedy fantasy scifi,1 hr 57 min,PG-13,ters
Kingsman: The Secret Se,"A spy organisation recruits a promising street kid into the agency's training program, while a global threat emerges from a twisted tech genius.",Twentieth Century Fox,"January 30, 2015",128261724,286089822,414351546,action adventure comedy thriller,2 hr 9 min,R,vice
R,"In a robot world, a young idealistic inventor travels to the big city to join his inspiration's company, only to find himself opposing its sinister new management.",Twentieth Century Fox,"March 10, 2005",128200012,134311478,262511490,adventure animation comedy family romance scifi,1 hr 31 min,PG,bots
"Crouching Tiger, Hidden D",A young Chinese warrior steals a sword from a famed swordsman and then escapes into a world of romantic adventure with a mysterious man in the frontier of the nation.,Sony Pictures Classics,"December 8, 2000",128078872,85446864,213525736,action adventure drama fantasy romance,2 hr,PG-13,agon
Shutter I,"In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.",Paramount Pictures,"February 18, 2010",128012934,166792763,294805697,mystery thriller,2 hr 18 min,R,land
Into the ,A witch tasks a childless baker and his wife with procuring magical items from classic fairy tales to reverse the curse put on their family tree.,Walt Disney Studios Motion Pictures,"December 24, 2014",128002372,84900000,212902372,adventure comedy drama fantasy musical,2 hr 5 min,PG,oods
Roc,"Rocky Balboa proudly holds the world heavyweight boxing championship, but a new challenger has stepped forward: Drago, a six-foot-four, 261-pound fighter who has the backing of the Soviet Union.",United Artists,,127873716,172600000,300473716,drama sport,1 hr 31 min,,y IV
Ench,"A young maiden in a land called Andalasia, who is prepared to be wed, is sent away to New York City by an evil Queen, where she falls in love with a lawyer.",Walt Disney Studios Motion Pictures,"November 21, 2007",127807262,212680574,340487836,adventure animation comedy family fantasy musical romance,1 hr 47 min,PG,nted
The Curious Case of Benjamin B,"Tells the story of Benjamin Button, a man who starts aging backwards with consequences.",Paramount Pictures,"December 25, 2008",127509326,208293460,335802786,drama fantasy romance,2 hr 46 min,PG-13,tton
Central Intelli,"After he reconnects with an awkward pal from high school through Facebook, a mild-mannered accountant is lured into the world of international espionage.",Warner Bros.,"June 15, 2016",127440871,89531672,216972543,action comedy crime,1 hr 47 min,PG-13,ence
Anchorman 2: The Legend Cont,"With the 1970s behind them, San Diego's top-rated newsman, Ron Burgundy, returns to take New York City's first twenty-four-hour news channel by storm.",Paramount Pictures,"December 18, 2013",127352707,46297224,173649931,comedy,1 hr 59 min,PG-13,nues
Sweet Home Al,A young woman who has reinvented herself as a New York City socialite must return home to Alabama to obtain a divorce from her husband after seven years of separation.,Walt Disney Studios Motion Pictures,"September 27, 2002",127223418,53399006,180622424,comedy romance,1 hr 48 min,PG-13,bama
Bumb,"On the run in the year 1987, Bumblebee finds refuge in a junkyard in a small California beach town. On the cusp of turning 18 and trying to find her place in the world, Charlie Watson discovers Bumblebee, battle-scarred and broken.",Paramount Pictures,"December 19, 2018",127195589,340794056,467989645,action adventure scifi,1 hr 54 min,PG-13,ebee
Dumb and D,"After a woman leaves a briefcase at the airport terminal, a dumb limo driver and his dumber friend set out on a hilarious cross-country road trip to Aspen to return it.",New Line Cinema,"December 16, 1994",127175374,120100000,247275374,comedy,1 hr 47 min,,mber
2 Fast 2 Fu,Former cop Brian O'Conner is called upon to bust a dangerous criminal and he recruits the help of a former childhood friend and street racer who has a chance to redeem himself.,Universal Pictures,"June 5, 2003",127154901,109195760,236350661,action crime thriller,1 hr 47 min,PG-13,ious
My Best Friend's We,"When a woman's long-time friend reveals he's engaged, she realizes she loves him herself and sets out to get him, with only days before the wedding.",Sony Pictures Entertainment (SPE),"June 20, 1997",127120029,172168576,299288605,comedy drama romance,1 hr 45 min,PG-13,ding
Su,"During the summer of 1979, a group of friends witness a train crash and investigate subsequent unexplained events in their small town.",Paramount Pictures,"June 9, 2011",127004179,133091807,260095986,action mystery scifi thriller,1 hr 52 min,PG-13,er 8
The World Is Not E,"James Bond uncovers a nuclear plot while protecting an oil heiress from her former kidnapper, an international terrorist who can't feel pain.",Metro-Goldwyn-Mayer (MGM),"November 19, 1999",126943684,234888716,361832400,action adventure thriller,2 hr 8 min,PG-13,ough
Sleepless in Se,A recently widowed man's son calls a radio talk-show in an attempt to find his father a partner.,TriStar Pictures,"June 25, 1993",126808165,101119000,227927165,comedy drama romance,1 hr 45 min,PG,ttle
,"A woman, accidentally caught in a dark deal, turns the tables on her captors and transforms into a merciless warrior evolved beyond human logic.",Universal Pictures,"July 25, 2014",126663600,332200000,458863600,action scifi thriller,1 hr 29 min,R,Lucy
The Legend of T,"Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment.",Warner Bros.,"June 29, 2016",126643061,230057296,356700357,action adventure drama fantasy romance,1 hr 50 min,PG-13,rzan
Bee ,"Barry B. Benson, a bee just graduated from college, is disillusioned at his lone career choice: making honey. On a special trip outside the hive, Barry's life is saved by Vanessa, a florist in New York City. As their relationship blossoms, he discovers humans actually eat honey, and subsequently decides to sue them.",DreamWorks,"November 1, 2007",126631277,166883059,293514336,adventure animation comedy drama family,1 hr 31 min,PG,ovie
Prome,"Following clues to the origin of mankind, a team finds a structure on a distant moon, but they soon realize they are not alone.",Twentieth Century Fox,"May 30, 2012",126477084,276877385,403354469,adventure mystery scifi,2 hr 4 min,R,heus
Safe ,"A young CIA agent is tasked with looking after a fugitive in a safe house. But when the safe house is attacked, he finds himself on the run with his charge.",Universal Pictures,"February 8, 2012",126373434,81702771,208076205,action thriller,1 hr 55 min,R,ouse
Mr. ,"A sweet-natured, small-town guy inherits a controlling stake in a media conglomerate and begins to do business his way.",Sony Pictures Entertainment (SPE),"June 28, 2002",126293452,44976083,171269535,comedy romance,1 hr 36 min,PG-13,eeds
The Truman,An insurance salesman discovers his whole life is actually a reality TV show.,Paramount Pictures,,125618201,138500000,264118201,comedy drama,1 hr 43 min,,Show
Erin Brock,An unemployed single mother becomes a legal assistant and almost single-handedly brings down a California power company accused of polluting a city's water supply.,Universal Pictures,"March 17, 2000",125595205,130676081,256271286,biography drama,2 hr 11 min,R,vich
Ocean's T,Daniel Ocean recruits one more team member so he can pull off three major European heists in this sequel to Ocean's Eleven.,Warner Bros.,"December 9, 2004",125544280,237200000,362744280,crime thriller,2 hr 5 min,PG-13,elve
Terminator Salv,"In 2018, a mysterious new weapon in the war against the machines, half-human and half-machine, comes to John Connor on the eve of a resistance attack on Skynet. But whose side is he on, and can he be trusted?",Warner Bros.,"May 20, 2009",125322469,246030532,371353001,action scifi,1 hr 55 min,PG-13,tion
Charlie's A,"Three women, detectives with a mysterious boss, retrieve stolen voice-ID software, using martial arts, tech skills, and sex appeal.",Sony Pictures Entertainment (SPE),"November 3, 2000",125305545,138800000,264105545,action adventure comedy crime thriller,1 hr 38 min,PG-13,gels
Tomorrow Never,James Bond sets out to stop a media mogul's plan to induce war between China and the UK in order to obtain exclusive global media coverage.,Metro-Goldwyn-Mayer (MGM),,125304276,207706792,333011068,action adventure thriller,1 hr 59 min,,Dies
Ghostbusters: Afte,"When a single mom and her two kids arrive in a small town, they begin to discover their connection to the original Ghostbusters and the secret legacy their grandfather left behind.",Sony Pictures Entertainment (SPE),,125278330,66100000,191378330,adventure comedy fantasy scifi,2 hr 4 min,,life
Lone Sur,"Marcus Luttrell and his team set out on a mission to capture or kill notorious Taliban leader Ahmad Shah, in late June 2005. Marcus and his team are left to fight for their lives in one of the most valiant efforts of modern warfare.",Universal Pictures,"December 25, 2013",125095601,29707311,154802912,action biography drama war,2 hr 1 min,R,ivor
,"When pilot Chesley ""Sully"" Sullenberger lands his damaged plane on the Hudson River in order to save the flight's passengers and crew, some consider him a hero while others think he was reckless.",Warner Bros.,"September 8, 2016",125070033,115727590,240797623,biography drama,1 hr 36 min,PG-13,ully
Th,"A car accident puts Paige in a coma, and when she wakes up with severe memory loss, her husband Leo works to win her heart again.",Screen Gems,"February 9, 2012",125014030,71100540,196114570,drama romance,1 hr 44 min,PG-13, Vow
Life ,"A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger.",Twentieth Century Fox,"November 21, 2012",124987023,484029542,609016565,adventure drama fantasy,2 hr 7 min,PG,f Pi
The Fault in Our ,Two teenage cancer patients begin a life-affirming journey to visit a reclusive author in Amsterdam.,Twentieth Century Fox,"June 4, 2014",124872350,182294484,307166834,drama romance,2 hr 6 min,PG-13,tars
Cloudy with a Chance of Meat,"A local scientist is often regarded as a failure until he invents a machine that can make food fall from the sky. But little does he know, that things are about to take a turn for the worst.",Sony Pictures Entertainment (SPE),"September 16, 2009",124870275,118135851,243006126,adventure animation comedy drama family fantasy scifi,1 hr 30 min,PG,alls
The Devil Wears ,"A smart but sensible new graduate lands a job as an assistant to Miranda Priestly, the demanding editor-in-chief of a high fashion magazine.",Twentieth Century Fox,"June 30, 2006",124740460,201965655,326706115,comedy drama,1 hr 49 min,PG-13,rada
Something's Gotta,A swinger on the cusp of being a senior citizen with a taste for young women falls in love with an accomplished woman closer to his age.,Sony Pictures Entertainment (SPE),"December 12, 2003",124728738,140600000,265328738,comedy drama romance,2 hr 8 min,PG-13,Give
Tr,"A conservative judge is appointed by the President to spearhead America's escalating war against drugs, only to discover that his teenage daughter is a crack addict. Two DEA agents protect an informant. A jailed drug baron's wife attempts to carry on the family business.",USA Films,,124115725,83400000,207515725,crime drama thriller,2 hr 27 min,,ffic
The Bir,A gay cabaret owner and his drag queen companion agree to put up a false straight front so that their son can introduce them to his fiancée's right-wing moralistic parents.,Metro-Goldwyn-Mayer (MGM),,124060553,61200000,185260553,comedy,1 hr 57 min,,cage
City Sli,"On the verge of turning 40, an unhappy Manhattan yuppie is roped into joining his two friends on a cattle drive in the southwest.",Columbia Pictures,"June 7, 1991",124033791,55000000,179033791,comedy western,1 hr 53 min,,kers
,"Rango is an ordinary chameleon who accidentally winds up in the town of Dirt, a lawless outpost in the Wild West in desperate need of a new sheriff.",Paramount Pictures,"March 2, 2011",123477607,122246996,245724603,action adventure animation comedy family western,1 hr 47 min,PG,ango
Nutty Professor II: The K,"Scientist Sherman Klump's inventions, his upcoming marriage to his pretty colleague Denise Gaines and his reputation are threatened by his evil clone Buddy Love.",Universal Pictures,"July 28, 2000",123309890,43030000,166339890,comedy romance scifi,1 hr 46 min,PG-13,umps
The Good Din,"In a world where dinosaurs and humans live side-by-side, an Apatosaurus named Arlo makes an unlikely human friend.",Walt Disney Studios Motion Pictures,,123087120,209120551,332207671,adventure animation comedy drama family,1 hr 33 min,,saur
G.I. Joe: Retali,The G.I. Joes are not only fighting their mortal enemy Cobra; they are forced to contend with threats from within the government that jeopardize their very existence.,Paramount Pictures,"March 27, 2013",122523060,253217645,375740705,action adventure scifi thriller,1 hr 50 min,PG-13,tion
Clear and Present D,CIA Analyst Jack Ryan is drawn into an illegal war fought by the US government against a Colombian drug cartel.,Paramount Pictures,"August 5, 1994",122187717,93700000,215887717,action crime drama thriller,2 hr 21 min,PG-13,nger
The Hunt for Red Oc,"In November 1984, the Soviet Union's best submarine captain, in a new undetectable sub, violates orders and heads for the U.S. The American CIA and military must quickly determine: Is he trying to defect, or to start a war?",Paramount Pictures,"March 2, 1990",122012643,78500000,200512643,action adventure thriller,2 hr 15 min,,ober
The Body,"A former Secret Service agent takes on the job of bodyguard to an R&B singer, whose lifestyle is most unlike a President's.",Warner Bros.,,122006740,289000000,411006740,action drama music romance thriller,2 hr 9 min,,uard
Wayne's ,Two slacker friends try to promote their public-access cable show.,Paramount Pictures,"February 14, 1992",121697323,61400000,183097323,comedy music,1 hr 34 min,PG-13,orld
The Bourne Ide,"A man is picked up by a fishing boat, bullet-riddled and suffering from amnesia, before racing to elude assassins and attempting to regain his memory.",Universal Pictures,"June 14, 2002",121661683,92372541,214034224,action mystery thriller,1 hr 59 min,PG-13,tity
Fre,"A bank teller discovers that he's actually an NPC inside a brutal, open world video game.",20th Century Studios,,121626598,209877159,331503757,action adventure comedy fantasy scifi,1 hr 55 min,, Guy
Sup,Two co-dependent high school seniors are forced to deal with separation anxiety after their plan to stage a booze-soaked party goes awry.,Sony Pictures Entertainment (SPE),"August 17, 2007",121463226,49349300,170812526,comedy,1 hr 53 min,R,rbad
,A young police officer must prevent a bomb exploding aboard a city bus by keeping its speed above 50 mph.,Twentieth Century Fox,"June 10, 1994",121248145,229200000,350448145,action adventure thriller,1 hr 56 min,R,peed
50 First ,Henry Roth is a man afraid of commitment until he meets the beautiful Lucy. They hit it off and Henry think he's finally found the girl of his dreams until discovering she has short-term memory loss and forgets him the next day.,Sony Pictures Entertainment (SPE),"February 13, 2004",120908074,77612860,198520934,comedy drama romance,1 hr 39 min,PG-13,ates
Mamma Mia! Here We Go ,"Five years after the events of Mamma Mia!, Sophie prepares for the grand reopening of the Hotel Bella Donna as she learns more about her mother's past.",Universal Pictures,"July 18, 2018",120634935,281619449,402254384,comedy musical romance,1 hr 54 min,PG-13,gain
Inglourious Bas,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",The Weinstein Company,"August 19, 2009",120540719,200917028,321457747,adventure drama war,2 hr 33 min,R,erds
Seabi,True story of the undersized Depression-era racehorse whose victories lifted not only the spirits of the team behind it but also those of their nation.,Universal Pictures,"July 25, 2003",120277854,28058591,148336445,drama history sport,2 hr 20 min,PG-13,cuit
Van He,"The famed monster hunter is sent to Transylvania to stop Count Dracula, who is using Dr. Frankenstein's research and a werewolf for nefarious purposes.",Universal Pictures,"May 5, 2004",120177084,179980554,300157638,action adventure fantasy thriller,2 hr 11 min,PG-13,sing
Four Christ,A couple struggles to visit all four of their divorced parents on Christmas.,Warner Bros.,"November 26, 2008",120146040,43966681,164112721,comedy drama romance,1 hr 28 min,PG-13,ases
I Now Pronounce You Chuck & ,"Two straight, single Brooklyn firefighters pretend to be a gay couple in order to receive domestic partner benefits.",Universal Pictures,"July 20, 2007",120059556,67074561,187134117,comedy romance,1 hr 55 min,PG-13,arry
The,Bank clerk Stanley Ipkiss is transformed into a manic superhero when he wears a mysterious mask.,New Line Cinema,"July 29, 1994",119938730,231644677,351583407,action comedy crime fantasy,1 hr 41 min,PG-13,Mask
Cloudy with a Chance of Meatba,"Flint Lockwood now works at The Live Corp Company for his idol Chester V. But he's forced to leave his post when he learns that his most infamous machine is still operational, and is churning out menacing food-animal hybrids.",Sony Pictures Entertainment (SPE),"September 26, 2013",119793567,154532382,274325949,adventure animation comedy drama family fantasy scifi,1 hr 35 min,PG,ls 2
,"When Captain James Hook kidnaps his children, an adult Peter Pan must return to Neverland and reclaim his youthful spirit in order to challenge his old enemy.",TriStar Pictures,"December 11, 1991",119654823,181200000,300854823,adventure comedy family fantasy,2 hr 22 min,,Hook
Walk the,"A chronicle of country music legend Johnny Cash's life, from his early days on an Arkansas cotton farm to his rise to fame with Sun Records in Memphis, where he recorded alongside Elvis Presley, Jerry Lee Lewis, and Carl Perkins.",Twentieth Century Fox,"February 2, 2005",119519402,67278584,186797986,biography drama music romance,2 hr 16 min,PG-13,Line
G-,A specially trained squad of guinea pigs is dispatched to stop a diabolical billionaire from taking over the world.,Walt Disney Studios Motion Pictures,"July 23, 2009",119436770,173381128,292817898,action adventure animation comedy family fantasy scifi,1 hr 28 min,PG,orce
Total R,"When a man goes in to have virtual vacation memories of the planet Mars implanted in his mind, an unexpected and harrowing series of events forces him to go to the planet for real - or is he?",Sony Pictures Entertainment (SPE),"June 1, 1990",119412921,141905000,261317921,action adventure scifi,1 hr 53 min,,call
The Other,"Two mismatched New York City detectives seize an opportunity to step up like the city's top cops, whom they idolize, only things don't quite go as planned.",Sony Pictures Entertainment (SPE),"August 6, 2010",119219978,51238944,170458922,action comedy crime,1 hr 47 min,PG-13,Guys
Fahrenheit,Michael Moore's view on what happened to the United States after September 11 and how the Bush Administration allegedly used the tragic event to push forward its agenda for unjust wars in Afghanistan and Iraq.,Lionsgate,"June 23, 2004",119194771,103252111,222446882,documentary drama war,2 hr 2 min,R,9/11
Back to the Future Pa,"After visiting 2015, Marty McFly must repeat his visit to 1955 to prevent disastrous changes to 1985...without interfering with his first trip.",Universal Pictures,"November 22, 1989",119000002,213500000,332500002,adventure comedy scifi,1 hr 48 min,,t II
The Sum of All ,"CIA analyst Jack Ryan must stop the plans of a Neo-Nazi faction that threatens to induce a catastrophic conflict between the United States and Russia's President by detonating a nuclear weapon at a football game in Baltimore, Maryland.",Paramount Pictures,"May 31, 2002",118907036,75014336,193921372,action drama thriller war,2 hr 4 min,PG-13,ears
Hair,Pleasantly plump teenager Tracy Turnblad teaches 1962 Baltimore a thing or two about integration after landing a spot on a local TV dance show.,New Line Cinema,,118871849,84681462,203553311,comedy drama musical romance,1 hr 57 min,,pray
The Bre,"In a bid to keep their luxurious condo from their significant other, a couple's break-up proceeds to get uglier and nastier by the moment.",Universal Pictures,"June 2, 2006",118703275,86964935,205668210,comedy drama romance,1 hr 46 min,PG-13,k-Up
A Series of Unfortunate E,"When a massive fire kills their parents, three children are delivered to the custody of cousin and stage actor Count Olaf, who is secretly plotting to steal their parents' vast fortune.",Paramount Pictures,"December 16, 2004",118634549,92833686,211468235,adventure comedy family fantasy,1 hr 48 min,PG,ents
Blades of ,"In 2002, two rival Olympic ice skaters were stripped of their gold medals and permanently banned from men's single competition. Presently, however, they've found a loophole that will allow them to qualify as a pairs team.",DreamWorks,"March 30, 2007",118594548,27115799,145710347,comedy sport,1 hr 33 min,PG-13,lory
,A CIA agent goes on the run after a defector accuses her of being a Russian spy.,Sony Pictures Entertainment (SPE),"July 21, 2010",118311368,175191986,293503354,action thriller,1 hr 40 min,PG-13,Salt
Basic Ins,A violent police detective investigates a brutal murder that might involve a manipulative and seductive novelist.,TriStar Pictures,"March 20, 1992",117727224,235200000,352927224,drama mystery thriller,2 hr 7 min,R,inct
Now You S,"An F.B.I. Agent and an Interpol Detective track a team of illusionists who pull off bank heists during their performances, and reward their audiences with the money.",Lionsgate,"May 29, 2013",117723989,234000000,351723989,crime mystery thriller,1 hr 55 min,PG-13,e Me
