Title,Movie Info,Distributor,Release Date,Domestic Sales (in $),International Sales (in $),World Sales (in $),Genre,Movie Runtime,License,Release Year
Zoo,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.",Walt Disney Studios Motion Pictures,,341268248,682852856,1024121104,adventure animation comedy crime family mystery,1 hr 48 min,,opia
The Hunger Games: Mockingjay - P,"Katniss Everdeen is in District 13 after she shatters the games forever. Under the leadership of President Coin and the advice of her trusted friends, Katniss spreads her wings as she fights to save Peeta and a nation moved by her courage.",Lionsgate,"November 19, 2014",337135885,418220826,755356711,action adventure scifi thriller,2 hr 3 min,PG-13,rt 1
Spider-,"A strange black entity from another world bonds with Peter Parker and causes inner turmoil as he contends with new villains, temptations, and revenge.",Sony Pictures Entertainment (SPE),"May 1, 2007",336530303,558453070,894983373,action adventure scifi,2 hr 19 min,PG-13,an 3
Mi,"Minions Stuart, Kevin, and Bob are recruited by Scarlet Overkill, a supervillain who, alongside her inventor husband Herb, hatches a plot to take over the world.",Universal Pictures,"April 9, 2015",336045770,823398892,1159444662,adventure animation comedy crime family scifi,1 hr 31 min,PG,ions
,"In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker.",Warner Bros.,"October 2, 2019",335451311,738968073,1074419384,crime drama thriller,2 hr 2 min,R,oker
Aq,"Arthur Curry, the human-born heir to the underwater kingdom of Atlantis, goes on a quest to prevent a war between the worlds of ocean and land.",Warner Bros.,,335061807,813424079,1148485886,action adventure fantasy scifi,2 hr 23 min,,aman
Spider-Man: Homec,"Peter Parker balances his life as an ordinary high school student in Queens with his superhero alter-ego Spider-Man, and finds himself on the trail of a new menace prowling the skies of New York City.",Sony Pictures Entertainment (SPE),"July 5, 2017",334201140,545965784,880166924,action adventure scifi,2 hr 13 min,PG-13,ming
Alice in Wonde,"Nineteen-year-old Alice returns to the magical world from her childhood adventure, where she reunites with her old friends and learns of her true destiny: to end the Red Queen's reign of terror.",Walt Disney Studios Motion Pictures,"March 3, 2010",334191110,691277106,1025468216,adventure family fantasy mystery,1 hr 48 min,PG,land
Guardians of the G,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,Walt Disney Studios Motion Pictures,"July 30, 2014",333718600,439631547,773350147,action adventure comedy scifi,2 hr 1 min,PG-13,laxy
Forrest,"The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.",Paramount Pictures,"July 6, 1994",330455270,347770863,678226133,drama romance,2 hr 22 min,PG-13,Gump
Batman v Superman: Dawn of Ju,"Fearing that the actions of Superman are left unchecked, Batman takes on the Man of Steel, while the world wrestles with what kind of a hero it really needs.",Warner Bros.,"March 23, 2016",330360194,543277334,873637528,action adventure scifi,2 hr 32 min,PG-13,tice
,"In the summer of 1989, a group of bullied kids band together to destroy a shape-shifting monster, which disguises itself as a clown and preys on the children of Derry, their small Maine town.",Warner Bros.,"September 6, 2017",328828874,372967570,701796444,horror,2 hr 15 min,R,It
Suicide ,A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force. Their first mission: save the world from the apocalypse.,Warner Bros.,"August 3, 2016",325100054,421746840,746846894,action adventure fantasy scifi,2 hr 3 min,PG-13,quad
Deadp,"Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool) assembles a team of fellow mutant rogues to protect a young boy with supernatural abilities from the brutal, time-traveling cyborg Cable.",Twentieth Century Fox,"May 16, 2018",324591735,461304874,785896609,action adventure comedy scifi,1 hr 59 min,R,ol 2
Shrek the ,"Reluctantly designated as the heir to the land of Far, Far Away, Shrek hatches a plan to install the rebellious Artie as the new king while Princess Fiona tries to fend off a coup d'état by the jilted Prince Charming.",DreamWorks,"May 17, 2007",322719944,490647436,813367380,adventure animation comedy family fantasy romance,1 hr 33 min,PG,hird
Jumanji: The Next ,"In Jumanji: The Next Level, the gang is back but the game has changed. As they return to rescue one of their own, the players will have to brave parts unknown from arid deserts to snowy mountains, to escape the world's most dangerous game.",Sony Pictures Entertainment (SPE),"December 4, 2019",320314960,479744747,800059707,action adventure comedy fantasy,2 hr 3 min,PG-13,evel
Transfo,"An ancient struggle between two Cybertronian races, the heroic Autobots and the evil Decepticons, comes to Earth, with a clue to the ultimate power held by a teenager.",DreamWorks,"June 28, 2007",319246193,390463587,709709780,action adventure scifi,2 hr 24 min,PG-13,mers
Iro,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",Paramount Pictures,"April 30, 2008",319034126,266762121,585796247,action adventure scifi,2 hr 6 min,PG-13, Man
Harry Potter and the Sorcerer's ,"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.",Warner Bros.,"November 16, 2001",318087620,698725454,1016813075,adventure family fantasy,2 hr 32 min,PG,tone
Indiana Jones and the Kingdom of the Crystal ,"In 1957, archaeologist and adventurer Dr. Henry ""Indiana"" Jones, Jr. is called back into action and becomes entangled in a Soviet plot to uncover the secret behind mysterious artifacts known as the Crystal Skulls.",Paramount Pictures,"May 21, 2008",317101119,473552823,790653942,action adventure,2 hr 2 min,PG-13,kull
The Lord of the Rings: The Fellowship of the,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,New Line Cinema,"December 19, 2001",315710750,581979322,897690072,action adventure drama fantasy,2 hr 58 min,PG-13,Ring
Thor: Rag,"Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela.",Walt Disney Studios Motion Pictures,"October 24, 2017",315058289,538925622,853983911,action adventure comedy fantasy scifi,2 hr 10 min,PG-13,arok
Iron ,"With the world now aware of his identity as Iron Man, Tony Stark must contend with both his declining health and a vengeful mad man with ties to his father's legacy.",Paramount Pictures,"April 28, 2010",312433331,311500000,623933331,action adventure scifi,2 hr 4 min,PG-13,an 2
Star Wars: Episode II - Attack of the C,"Ten years after initially meeting, Anakin Skywalker shares a forbidden romance with Padmé Amidala, while Obi-Wan Kenobi investigates an assassination attempt on the senator and discovers a secret clone army crafted for the Jedi.",Twentieth Century Fox,"May 16, 2002",310676740,343103230,653779970,action adventure fantasy scifi,2 hr 22 min,PG,ones
Pirates of the Caribbean: At World',"Captain Barbossa, Will Turner and Elizabeth Swann must sail off the edge of the map, navigate treachery and betrayal, find Jack Sparrow, and make their final alliances for one last decisive battle.",Walt Disney Studios Motion Pictures,"May 22, 2007",309420425,651576067,960996492,action adventure fantasy,2 hr 49 min,PG-13, End
Star Wars: Episode VI - Return of the,"After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap.",Twentieth Century Fox,"May 25, 1983",309306177,122009457,475106177,action adventure fantasy scifi,2 hr 11 min,PG,Jedi
