,Title,Imdb,Letterboxd,Imdb Sample Size,RYM,RYM Sample Size,Letterboxd Sample Size,Release Year,Weighted Rating
198,Wedding Crashers ,7.0,6.26,,5.28,,,2005,6.18
199,Sherlock Holmes ,7.6,6.78,,5.92,,,2009,6.766666666666667
200,Dawn of the Planet of the Apes ,7.6,7.34,,6.38,,,2014,7.1066666666666665
201,Batman Begins ,8.2,7.56,,6.72,,,2005,7.493333333333332
202,Charlie and the Chocolate Factory ,6.7,6.4,,5.06,,,2005,6.053333333333334
203,Ratatouille ,8.1,8.36,,7.4,,,2007,7.953333333333333
204,Thor: The Dark World ,6.8,4.8,,4.62,,,2013,5.406666666666666
205,Bad Boys for Life ,6.5,6.0,,5.1,,,2020,5.866666666666667
206,Austin Powers: The Spy Who Shagged Me ,6.6,6.44,,5.64,,,1999,6.226666666666667
207,Terminator 2: Judgment Day ,8.6,8.42,,7.92,,,1991,8.313333333333333
208,The Amazing Spider-Man 2 ,6.6,5.74,,4.2,,,2014,5.513333333333333
209,World War Z ,7.0,6.18,,5.02,,,2013,6.066666666666666
210,The Mummy Returns ,6.4,5.84,,4.46,,,2001,5.566666666666666
211,Armageddon ,6.7,5.98,,3.98,,,1998,5.553333333333334
212,Cinderella ,6.9,6.38,,5.2,,,2015,6.16
213,Ralph Breaks the Internet ,7.0,6.02,,5.46,,,2018,6.16
214,Tangled ,7.7,7.82,,6.42,,,2010,7.3133333333333335
215,Godzilla ,6.4,6.04,,5.3,,,2014,5.913333333333333
216,Superman Returns ,6.1,5.14,,4.5,,,2006,5.246666666666666
217,Spectre ,6.8,6.2,,5.42,,,2015,6.14
218,Pearl Harbor ,6.2,5.34,,3.22,,,2001,4.92
219,Monsters vs. Aliens ,6.4,5.44,,4.8,,,2009,5.546666666666667
220,Happy Feet ,6.4,5.74,,4.52,,,2006,5.553333333333334
221,Indiana Jones and the Last Crusade ,8.2,8.04,,7.36,,,1989,7.866666666666666
222,Ice Age: Dawn of the Dinosaurs ,6.9,6.08,,5.12,,,2009,6.033333333333334
223,Ice Age: The Meltdown ,6.8,6.02,,5.1,,,2006,5.973333333333333
224,Mission: Impossible - Rogue Nation ,7.4,7.26,,6.22,,,2015,6.960000000000001
225,Twilight ,5.3,5.9,,3.54,,,2008,4.913333333333333
226,Men in Black II ,6.1,5.76,,4.34,,,2002,5.3999999999999995
227,Madagascar ,6.9,6.78,,5.22,,,2005,6.300000000000001
228,22 Jump Street ,7.0,6.62,,5.94,,,2014,6.5200000000000005
229,Cars 2 ,6.2,5.14,,4.08,,,2011,5.140000000000001
230,Teenage Mutant Ninja Turtles ,5.8,4.66,,3.76,,,2014,4.739999999999999
231,Spider-Man: Into the Spider-Verse ,8.4,8.88,,7.86,,,2018,8.38
232,Grease ,7.2,6.96,,5.44,,,1978,6.533333333333334
233,Dunkirk ,7.8,7.56,,6.88,,,2017,7.413333333333333
234,Wreck-It Ralph ,7.7,7.16,,6.6,,,2012,7.153333333333333
235,A Quiet Place ,7.5,7.42,,6.12,,,2018,7.013333333333333
236,Interstellar ,8.6,8.56,,7.02,,,2014,8.06
