,Title,Distributor,Domestic Sales (in $),International Sales (in $),World Sales (in $),Genre,Runtime (Min),Imdb Standardized,Letterboxd Standardized,Rateyourmusic Standardized,Average Rating,Worldwide Popularity,Domestic Sales (Log),International Sales (Log),World Sales (Log),Mystery,Thriller,Music,Drama,Comedy,Western,Crime,History,Horror,Biography,Musical,Sci-Fi,Romance,Adventure,Action,Family,Fantasy,Animation,Sport,War
15,Beauty and the Beast (2017),Walt Disney Studios Motion Pictures,504481165.0,769095055.0,1273576220.0,"'Fantasy',",129.0,71.0,62.4,48.8,60.7,52.7,28.910225165856996,29.518586675754474,30.246238157473897,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,True,True,False,False,False
15,Beauty and the Beast (2017),Walt Disney Studios Motion Pictures,504481165.0,769095055.0,1273576220.0,"'Musical',",129.0,71.0,62.4,48.8,60.7,52.7,28.910225165856996,29.518586675754474,30.246238157473897,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,True,True,False,False,False
15,Beauty and the Beast (2017),Walt Disney Studios Motion Pictures,504481165.0,769095055.0,1273576220.0,'Romance'],129.0,71.0,62.4,48.8,60.7,52.7,28.910225165856996,29.518586675754474,30.246238157473897,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,True,True,False,False,False
16,Finding Dory (2016),Walt Disney Studios Motion Pictures,486295561.0,542275381.0,1028570942.0,"['Adventure',",97.0,73.0,65.8,60.8,66.5,51.3,28.857258181536057,29.01445043338814,29.937994156008543,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False
16,Finding Dory (2016),Walt Disney Studios Motion Pictures,486295561.0,542275381.0,1028570942.0,"'Animation',",97.0,73.0,65.8,60.8,66.5,51.3,28.857258181536057,29.01445043338814,29.937994156008543,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False
16,Finding Dory (2016),Walt Disney Studios Motion Pictures,486295561.0,542275381.0,1028570942.0,"'Comedy',",97.0,73.0,65.8,60.8,66.5,51.3,28.857258181536057,29.01445043338814,29.937994156008543,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False
16,Finding Dory (2016),Walt Disney Studios Motion Pictures,486295561.0,542275381.0,1028570942.0,'Family'],97.0,73.0,65.8,60.8,66.5,51.3,28.857258181536057,29.01445043338814,29.937994156008543,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False
17,Frozen II (2019),Walt Disney Studios Motion Pictures,477373578.0,972653355.0,1450026933.0,"['Adventure',",103.0,68.0,64.60000000000001,52.800000000000004,61.8,56.4,28.830543476454352,29.85735049203129,30.433432551291762,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,True,True,True,False,False
17,Frozen II (2019),Walt Disney Studios Motion Pictures,477373578.0,972653355.0,1450026933.0,"'Animation',",103.0,68.0,64.60000000000001,52.800000000000004,61.8,56.4,28.830543476454352,29.85735049203129,30.433432551291762,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,True,True,True,False,False
17,Frozen II (2019),Walt Disney Studios Motion Pictures,477373578.0,972653355.0,1450026933.0,"'Comedy',",103.0,68.0,64.60000000000001,52.800000000000004,61.8,56.4,28.830543476454352,29.85735049203129,30.433432551291762,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,True,True,True,False,False
17,Frozen II (2019),Walt Disney Studios Motion Pictures,477373578.0,972653355.0,1450026933.0,"'Family',",103.0,68.0,64.60000000000001,52.800000000000004,61.8,56.4,28.830543476454352,29.85735049203129,30.433432551291762,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,True,True,True,False,False
17,Frozen II (2019),Walt Disney Studios Motion Pictures,477373578.0,972653355.0,1450026933.0,"'Fantasy',",103.0,68.0,64.60000000000001,52.800000000000004,61.8,56.4,28.830543476454352,29.85735049203129,30.433432551291762,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,True,True,True,False,False
17,Frozen II (2019),Walt Disney Studios Motion Pictures,477373578.0,972653355.0,1450026933.0,'Musical'],103.0,68.0,64.60000000000001,52.800000000000004,61.8,56.4,28.830543476454352,29.85735049203129,30.433432551291762,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,True,True,True,False,False
18,Star Wars: Episode I - The Phantom Menace (1999),Twentieth Century Fox,474544677.0,552538030.0,1027082707.0,"['Action',",136.0,65.0,55.99999999999999,46.8,55.9,46.0,28.821968678278072,29.041498524606077,29.935905214974785,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,False
18,Star Wars: Episode I - The Phantom Menace (1999),Twentieth Century Fox,474544677.0,552538030.0,1027082707.0,"'Adventure',",136.0,65.0,55.99999999999999,46.8,55.9,46.0,28.821968678278072,29.041498524606077,29.935905214974785,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,False
18,Star Wars: Episode I - The Phantom Menace (1999),Twentieth Century Fox,474544677.0,552538030.0,1027082707.0,"'Fantasy',",136.0,65.0,55.99999999999999,46.8,55.9,46.0,28.821968678278072,29.041498524606077,29.935905214974785,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,False
18,Star Wars: Episode I - The Phantom Menace (1999),Twentieth Century Fox,474544677.0,552538030.0,1027082707.0,'Sci-Fi'],136.0,65.0,55.99999999999999,46.8,55.9,46.0,28.821968678278072,29.041498524606077,29.935905214974785,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,False
19,Star Wars: Episode IV - A New Hope (1977),Twentieth Century Fox,460998507.0,195751992.0,775398007.0,"['Action',",121.0,86.0,84.00000000000001,77.60000000000001,82.5,54.9,28.78018683741689,27.544451747759016,29.530361786043922,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,False
19,Star Wars: Episode IV - A New Hope (1977),Twentieth Century Fox,460998507.0,195751992.0,775398007.0,"'Adventure',",121.0,86.0,84.00000000000001,77.60000000000001,82.5,54.9,28.78018683741689,27.544451747759016,29.530361786043922,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,False
19,Star Wars: Episode IV - A New Hope (1977),Twentieth Century Fox,460998507.0,195751992.0,775398007.0,"'Fantasy',",121.0,86.0,84.00000000000001,77.60000000000001,82.5,54.9,28.78018683741689,27.544451747759016,29.530361786043922,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,False
19,Star Wars: Episode IV - A New Hope (1977),Twentieth Century Fox,460998507.0,195751992.0,775398007.0,'Sci-Fi'],121.0,86.0,84.00000000000001,77.60000000000001,82.5,54.9,28.78018683741689,27.544451747759016,29.530361786043922,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,False
20,Avengers: Age of Ultron (2015),Walt Disney Studios Motion Pictures,459005868.0,943803672.0,1402809540.0,"['Action',",141.0,73.0,62.8,52.400000000000006,62.7,56.0,28.7739373564861,29.81391154359112,30.385672000969844,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False
20,Avengers: Age of Ultron (2015),Walt Disney Studios Motion Pictures,459005868.0,943803672.0,1402809540.0,"'Adventure',",141.0,73.0,62.8,52.400000000000006,62.7,56.0,28.7739373564861,29.81391154359112,30.385672000969844,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False
20,Avengers: Age of Ultron (2015),Walt Disney Studios Motion Pictures,459005868.0,943803672.0,1402809540.0,'Sci-Fi'],141.0,73.0,62.8,52.400000000000006,62.7,56.0,28.7739373564861,29.81391154359112,30.385672000969844,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False
21,The Dark Knight Rises (2012),Warner Bros.,448139099.0,633003513.0,1081142612.0,"['Action',",164.0,84.00000000000001,74.0,63.0,73.7,55.8,28.73937136256456,29.237638265345904,30.009909693483216,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
21,The Dark Knight Rises (2012),Warner Bros.,448139099.0,633003513.0,1081142612.0,"'Crime',",164.0,84.00000000000001,74.0,63.0,73.7,55.8,28.73937136256456,29.237638265345904,30.009909693483216,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
21,The Dark Knight Rises (2012),Warner Bros.,448139099.0,633003513.0,1081142612.0,'Drama'],164.0,84.00000000000001,74.0,63.0,73.7,55.8,28.73937136256456,29.237638265345904,30.009909693483216,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
22,Shrek 2 (2004),DreamWorks Distribution,441226247.0,487534523.0,928760770.0,"['Adventure',",93.0,73.0,79.0,62.4,71.5,52.1,28.71694337344262,28.860929140827675,29.790731794478802,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,True,True,True,False,False
22,Shrek 2 (2004),DreamWorks Distribution,441226247.0,487534523.0,928760770.0,"'Animation',",93.0,73.0,79.0,62.4,71.5,52.1,28.71694337344262,28.860929140827675,29.790731794478802,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,True,True,True,False,False
22,Shrek 2 (2004),DreamWorks Distribution,441226247.0,487534523.0,928760770.0,"'Comedy',",93.0,73.0,79.0,62.4,71.5,52.1,28.71694337344262,28.860929140827675,29.790731794478802,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,True,True,True,False,False
22,Shrek 2 (2004),DreamWorks Distribution,441226247.0,487534523.0,928760770.0,"'Family',",93.0,73.0,79.0,62.4,71.5,52.1,28.71694337344262,28.860929140827675,29.790731794478802,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,True,True,True,False,False
22,Shrek 2 (2004),DreamWorks Distribution,441226247.0,487534523.0,928760770.0,"'Fantasy',",93.0,73.0,79.0,62.4,71.5,52.1,28.71694337344262,28.860929140827675,29.790731794478802,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,True,True,True,False,False
22,Shrek 2 (2004),DreamWorks Distribution,441226247.0,487534523.0,928760770.0,'Romance'],93.0,73.0,79.0,62.4,71.5,52.1,28.71694337344262,28.860929140827675,29.790731794478802,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,True,True,True,False,False
