,Title,Distributor,Domestic Sales (in $),International Sales (in $),World Sales (in $),Genre,Runtime (Min),Imdb Standardized,Letterboxd Standardized,Rateyourmusic Standardized,Average Rating,Worldwide Popularity,Domestic Sales (Log),International Sales (Log),World Sales (Log),Mystery,Comedy,Animation,Musical,History,Music,Action,War,Western,Romance,Drama,Family,Fantasy,Crime,Sci-Fi,Thriller,Biography,Adventure,Horror,Sport
39,Frozen (2013),Walt Disney Studios Motion Pictures,400953009.0,880555091.0,1281508100.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical']",102.0,74.0,67.6,55.400000000000006,65.7,55.4,28.578857924319838,29.71383802667176,30.255195451455315,False,True,True,True,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False
43,Finding Nemo (2003),Walt Disney Studios Motion Pictures,380843261.0,559509384.0,940352645.0,"['Adventure', 'Animation', 'Comedy', 'Family']",100.0,82.0,80.80000000000001,71.0,77.9,55.5,28.504622126624042,29.059587087149062,29.80862664757531,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
48,The Secret Life of Pets (2016),Universal Pictures,368384330.0,507074301.0,875458631.0,"['Adventure', 'Animation', 'Comedy', 'Family']",87.0,65.0,55.99999999999999,50.2,57.1,43.9,28.45663645377434,28.91762191822173,29.70546376612866,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
49,Despicable Me 2 (2013),Universal Pictures,368065385.0,602700620.0,970766005.0,"['Adventure', 'Animation', 'Comedy', 'Crime', 'Family', 'Sci-Fi']",98.0,73.0,60.8,52.6,62.1,48.1,28.455386835805285,29.166866307996894,29.854548347113447,False,True,True,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False
50,The Jungle Book (2016),Walt Disney Studios Motion Pictures,364001123.0,602553806.0,966554929.0,"['Adventure', 'Drama', 'Family', 'Fantasy']",106.0,74.0,64.4,59.00000000000001,65.8,49.9,28.43936766046801,29.16651483394094,29.84827648175176,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,True,False,False
52,Inside Out (2015),Walt Disney Studios Motion Pictures,356921711.0,501926308.0,858848019.0,"['Adventure', 'Animation', 'Comedy', 'Drama', 'Family', 'Fantasy', 'Sci-Fi']",95.0,82.0,77.2,72.8,77.3,53.7,28.41103242008059,28.902900324695118,29.677827614986395,False,True,True,False,False,False,False,False,False,False,True,True,True,False,True,False,False,True,False,False
53,Aladdin (2019),Walt Disney Studios Motion Pictures,355559216.0,695134737.0,1050693953.0,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical', 'Romance']",128.0,69.0,61.0,49.2,59.7,48.3,28.40551461012558,29.372717399614004,29.968695355077113,False,True,False,True,False,True,False,False,False,True,False,True,True,False,False,False,False,True,False,False
58,Zootopia (2016),Walt Disney Studios Motion Pictures,341268248.0,682852856.0,1024121104.0,"['Adventure', 'Animation', 'Comedy', 'Crime', 'Family', 'Mystery']",108.0,80.0,74.4,68.8,74.4,55.2,28.346330949732838,29.346999493120315,29.93173918046635,True,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False
61,Minions (2015),Universal Pictures,336045770.0,823398892.0,1159444662.0,"['Adventure', 'Animation', 'Comedy', 'Crime', 'Family', 'Sci-Fi']",91.0,64.0,53.800000000000004,41.8,53.2,47.0,28.32408250298083,29.617016266408577,30.110786818633095,False,True,True,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False
65,Alice in Wonderland (2010),Walt Disney Studios Motion Pictures,334191110.0,691277106.0,1025468216.0,"['Adventure', 'Family', 'Fantasy', 'Mystery']",108.0,64.0,60.8,44.2,56.3,46.2,28.316098115090753,29.36468890576642,29.93363563070915,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False
72,Shrek the Third (2007),DreamWorks,322719944.0,490647436.0,813367380.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Romance']",93.0,61.0,55.199999999999996,43.2,53.1,40.8,28.265707497818678,28.8701114800993,29.599331891949713,False,True,True,False,False,False,False,False,False,True,False,True,True,False,False,False,False,True,False,False
76,Harry Potter and the Sorcerer's Stone (2001),Warner Bros.,318087620.0,698725454.0,1016813075.0,"['Adventure', 'Family', 'Fantasy']",152.0,76.0,75.8,59.400000000000006,70.4,53.1,28.24484898224269,29.38015045653311,29.921407340893758,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False
88,Harry Potter and the Half-Blood Prince (2009),Warner Bros.,302305431.0,632148664.0,934454096.0,"['Action', 'Adventure', 'Family', 'Fantasy', 'Mystery']",153.0,76.0,73.4,57.599999999999994,69.0,50.9,28.171431656709526,29.23568863964377,29.799548554048727,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False
91,Harry Potter and the Deathly Hallows: Part 1 (2010),Warner Bros.,296347721.0,680695761.0,977043483.0,"['Adventure', 'Family', 'Fantasy', 'Mystery']",146.0,77.0,74.2,60.6,70.6,52.5,28.142715721903425,29.34243488454454,29.863847529391325,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False
93,Up (2009),Walt Disney Studios Motion Pictures,293004164.0,442094938.0,735099102.0,"['Adventure', 'Animation', 'Comedy', 'Drama', 'Family']",96.0,83.0,81.8,74.4,79.7,52.8,28.126345926611485,28.71978097458494,29.453363518335014,False,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False
96,Harry Potter and the Order of the Phoenix (2007),Warner Bros.,292353413.0,649818982.0,942172396.0,"['Action', 'Adventure', 'Family', 'Fantasy', 'Mystery']",138.0,75.0,73.4,57.00000000000001,68.5,50.8,28.12313819286304,29.27546264625242,29.81141582328761,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False
98,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe (2005)",Walt Disney Studios Motion Pictures,291710957.0,453302158.0,745013115.0,"['Adventure', 'Family', 'Fantasy']",143.0,69.0,68.8,51.2,63.0,44.6,28.11996433564244,28.75589778846418,29.472690581692383,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False
100,"Monsters, Inc. (2001)",Walt Disney Studios Motion Pictures,290642256.0,289065482.0,579707738.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",92.0,81.0,81.4,72.8,78.4,49.4,28.114669228380087,28.106821102536454,29.110750502085345,False,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False
101,Harry Potter and the Goblet of Fire (2005),Warner Bros.,290417905.0,606260335.0,896678241.0,"['Adventure', 'Family', 'Fantasy', 'Mystery']",157.0,77.0,76.2,59.400000000000006,70.9,51.2,28.113555160980784,29.175362195308555,29.740015148491835,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False
102,Home Alone (1990),Twentieth Century Fox,285761243.0,190923432.0,476684675.0,"['Comedy', 'Family']",103.0,77.0,75.6,63.0,71.9,44.3,28.09023502009773,27.508418934421464,28.828460003854303,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
109,The Grinch (2018),Universal Pictures,271094731.0,241474088.0,512568819.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical']",85.0,64.0,57.199999999999996,49.6,56.9,37.5,28.014221832311254,27.84729314435219,28.933170477208854,False,True,True,True,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False
110,Sing (2016),Universal Pictures,270448425.0,363759959.0,634208384.0,"['Animation', 'Comedy', 'Family', 'Musical']",108.0,71.0,60.6,46.8,59.5,40.9,28.010778254847637,28.4384115056854,29.24038170856095,False,True,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
111,Monsters University (2013),Walt Disney Studios Motion Pictures,268492764.0,475066881.0,743559645.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",104.0,72.0,66.60000000000001,60.0,66.2,46.2,28.00030796655731,28.823555392741955,29.469873232505535,False,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False
112,Shrek (2001),DreamWorks Distribution,267665011.0,220188309.0,487853320.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Romance']",90.0,79.0,80.80000000000001,67.19999999999999,75.7,46.4,27.995853322224402,27.714162629474917,28.86187220541604,False,True,True,False,False,False,False,False,False,True,False,True,True,False,False,False,False,True,False,False
113,Despicable Me 3 (2017),Universal Pictures,264624300.0,770175831.0,1034800131.0,"['Adventure', 'Animation', 'Comedy', 'Crime', 'Family', 'Sci-Fi']",89.0,62.0,51.4,45.199999999999996,52.9,44.6,27.97937030703374,29.520612609520807,29.946704995758815,False,True,True,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False
114,Harry Potter and the Chamber of Secrets (2002),Warner Bros.,262450136.0,617152229.0,879602366.0,"['Adventure', 'Family', 'Fantasy', 'Mystery']",161.0,74.0,72.39999999999999,57.599999999999994,68.0,49.4,27.967468104243224,29.201051152744284,29.712276243932838,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False
116,The Incredibles (2004),Walt Disney Studios Motion Pictures,261441092.0,370165961.0,631607053.0,"['Action', 'Adventure', 'Animation', 'Family']",115.0,80.0,81.4,72.39999999999999,77.9,50.0,27.96191067362726,28.463596995867864,29.23445204060628,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False
118,How the Grinch Stole Christmas (2000),Universal Pictures,260465005.0,85108027.0,345573032.0,"['Comedy', 'Family', 'Fantasy']",104.0,63.0,67.19999999999999,43.8,58.0,35.1,27.95651431008858,26.342791870940232,28.36441539524053,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
121,The Lego Movie (2014),Warner Bros.,257760692.0,210300000.0,468060692.0,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']",100.0,77.0,75.2,70.8,74.3,45.4,27.941457031407896,27.64787360916859,28.802120370895516,False,True,True,False,False,False,True,False,False,False,False,True,True,False,True,False,False,True,False,False
127,Despicable Me (2010),Universal Pictures,251513985.0,291600000.0,543113985.0,"['Adventure', 'Animation', 'Comedy', 'Crime', 'Family', 'Sci-Fi']",95.0,76.0,69.19999999999999,59.199999999999996,68.1,43.6,27.906063379921783,28.11941547876375,29.016679771744883,False,True,True,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False
129,Night at the Museum (2006),Twentieth Century Fox,250863268.0,323617961.0,574481229.0,"['Adventure', 'Comedy', 'Family', 'Fantasy']",108.0,64.0,63.800000000000004,46.8,58.2,39.2,27.902326002449655,28.269716439569333,29.097684513117308,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False
131,Harry Potter and the Prisoner of Azkaban (2004),Warner Bros.,249975996.0,547385621.0,797361618.0,"['Adventure', 'Family', 'Fantasy', 'Mystery']",142.0,79.0,82.0,67.0,76.0,52.0,27.897214325528633,29.027982296862685,29.570658920173074,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False
132,Moana (2016),Walt Disney Studios Motion Pictures,248757044.0,395379444.0,644136488.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical']",107.0,76.0,75.2,63.800000000000004,71.7,47.2,27.890162137820447,28.55866262558796,29.2627911767824,False,True,True,True,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False
134,Toy Story 2 (1999),Walt Disney Studios Motion Pictures,245852179.0,251523202.0,497375381.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",92.0,79.0,78.60000000000001,72.39999999999999,76.7,47.1,27.873215900991465,27.9061162480617,28.88975985815307,False,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False
136,Cars (2006),Walt Disney Studios Motion Pictures,244082982.0,217908885.0,461991867.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Sport']",117.0,72.0,70.6,54.800000000000004,65.8,41.0,27.86279646986693,27.69914978108786,28.783292213463078,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True
141,Maleficent (2014),Walt Disney Studios Motion Pictures,241410378.0,517001401.0,758411779.0,"['Adventure', 'Family', 'Fantasy', 'Romance']",97.0,69.0,64.0,51.0,61.3,44.0,27.846912456597416,28.945592949142036,29.49840613020865,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,True,False,False
143,Shrek Forever After (2010),DreamWorks,238736787.0,513864080.0,752600867.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Romance']",93.0,63.0,57.199999999999996,50.2,56.8,41.6,27.830845647819757,28.936811567854075,29.487309710497623,False,True,True,False,False,False,False,False,False,True,False,True,True,False,False,False,False,True,False,False
145,Brave (2012),Walt Disney Studios Motion Pictures,237283207.0,301700000.0,538983207.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",93.0,71.0,66.60000000000001,57.199999999999996,64.9,41.9,27.822034760873475,28.168539455583513,29.005665082994604,False,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False
146,Oz the Great and Powerful (2013),Walt Disney Studios Motion Pictures,234911825.0,258400000.0,493311825.0,"['Adventure', 'Family', 'Fantasy']",130.0,63.0,50.8,48.6,54.1,35.7,27.8075440967124,27.945030829130737,28.877924629168763,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False
149,Fantastic Beasts and Where to Find Them (2016),Warner Bros.,234037575.0,580006426.0,814044001.0,"['Adventure', 'Family', 'Fantasy']",132.0,72.0,63.800000000000004,55.00000000000001,63.6,46.1,27.802164933840267,29.111493643316653,29.600531536770816,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False
165,WALL-E (2008),Walt Disney Studios Motion Pictures,223808164.0,297503726.0,521311890.0,"['Adventure', 'Animation', 'Family', 'Sci-Fi']",98.0,84.00000000000001,83.0,78.0,81.7,50.0,27.737687422524427,28.148332496252458,28.957571524170778,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
166,Big Hero 6 (2014),Walt Disney Studios Motion Pictures,222527828.0,435341858.0,657869686.0,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Sci-Fi']",102.0,78.0,75.6,63.0,72.2,47.7,27.729410521277718,28.697573500625513,29.29322659536848,False,True,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
169,Alvin and the Chipmunks: The Squeakquel (2009),Twentieth Century Fox,219614612.0,223525393.0,443140005.0,"['Adventure', 'Animation', 'Comedy', 'Drama', 'Family', 'Fantasy', 'Music', 'Musical']",88.0,45.0,42.6,24.6,37.4,26.5,27.71039880596762,27.735863493300428,28.72318733284193,False,True,True,True,False,True,False,False,False,False,True,True,True,False,False,False,False,True,False,False
170,Mrs. Doubtfire (1993),Twentieth Century Fox,219195243.0,222090952.0,441286195.0,"['Comedy', 'Drama', 'Family']",125.0,71.0,71.2,53.800000000000004,65.3,40.4,27.707641248205828,27.72657537769011,28.71713937449219,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
171,Beauty and the Beast (1991),Walt Disney Studios Motion Pictures,218967620.0,186043788.0,424967620.0,"['Animation', 'Family', 'Fantasy', 'Musical', 'Romance']",84.0,80.0,77.60000000000001,68.2,75.3,45.1,27.706142305093284,27.471066978795516,28.662777679772624,False,False,True,True,False,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False
175,How to Train Your Dragon (2010),DreamWorks,217581231.0,277298240.0,494879471.0,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",98.0,81.0,79.0,68.60000000000001,76.2,46.8,27.696978871242813,28.04686321878199,28.882501955474787,False,True,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False
177,Aladdin (1992),Walt Disney Studios Motion Pictures,217350219.0,286700000.0,504050219.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical', 'Romance']",90.0,80.0,77.4,69.4,75.6,46.7,27.69544630836134,28.094966663677337,28.90899223705618,False,True,True,True,False,True,False,False,False,True,False,True,True,False,False,False,False,True,False,False
178,Alvin and the Chipmunks (2007),Twentieth Century Fox,217326974.0,148025572.0,365352546.0,"['Adventure', 'Animation', 'Comedy', 'Drama', 'Family', 'Fantasy', 'Music', 'Musical']",92.0,52.0,49.00000000000001,28.599999999999998,43.2,28.0,27.695292007897468,27.141271187728336,28.444714020058374,False,True,True,True,False,True,False,False,False,False,True,True,True,False,False,False,False,True,False,False
182,Madagascar 3: Europe's Most Wanted (2012),DreamWorks,216391482.0,530529792.0,746921274.0,"['Adventure', 'Animation', 'Comedy', 'Family']",95.0,68.0,57.800000000000004,49.6,58.5,42.4,27.689068469362407,28.982858527324403,29.476380949107845,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
183,Kung Fu Panda (2008),DreamWorks,215434591.0,416311606.0,631746197.0,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",92.0,76.0,74.4,62.4,70.9,46.5,27.682674672200775,28.633088537815436,29.234769833526954,False,True,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False
187,The Lorax (2012),Universal Pictures,214030500.0,134809816.0,348840316.0,"['Adventure', 'Animation', 'Comedy', 'Drama', 'Family', 'Fantasy', 'Musical']",86.0,64.0,60.0,41.6,55.2,33.7,27.673241158825203,27.006350307391173,28.377991543285145,False,True,True,True,False,True,False,False,False,False,True,True,True,False,False,False,False,True,False,False
195,Coco (2017),Walt Disney Studios Motion Pictures,210460015.0,597357873.0,807817888.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Music', 'Mystery']",105.0,84.00000000000001,83.39999999999999,74.2,80.5,54.4,27.648970922838462,29.154020258285968,29.58945485196233,True,True,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False
202,Charlie and the Chocolate Factory (2005),Warner Bros.,206459076.0,268509687.0,474968763.0,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical']",115.0,67.0,64.0,50.6,60.5,38.6,27.62128060029345,28.00039889622863,28.823257394759626,False,True,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False
203,Ratatouille (2007),Walt Disney Studios Motion Pictures,206445654.0,417280431.0,623726085.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",111.0,81.0,83.6,74.0,79.5,50.7,27.621186806972915,28.636442023910035,29.21633735457752,False,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False
212,Cinderella (2015),Walt Disney Studios Motion Pictures,201151353.0,341206978.0,542358331.0,"['Adventure', 'Drama', 'Family', 'Fantasy', 'Romance']",105.0,69.0,63.800000000000004,52.0,61.6,40.3,27.583706201063563,28.346071910512,29.014671100609807,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,True,False,False
213,Ralph Breaks the Internet (2018),Walt Disney Studios Motion Pictures,201091711.0,328232251.0,529323962.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']",112.0,70.0,60.199999999999996,54.6,61.6,40.1,27.58327837408053,28.29014175929065,28.97957572400327,False,True,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,True,False,False
214,Tangled (2010),Walt Disney Studios Motion Pictures,200821936.0,391640880.0,592462816.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical', 'Romance']",100.0,77.0,78.2,64.2,73.1,47.0,27.581341624154206,28.54495612234259,29.14214936989326,False,True,True,True,False,True,False,False,False,True,False,True,True,False,False,False,False,True,False,False
219,Monsters vs. Aliens (2009),DreamWorks,198351526.0,183158344.0,381509870.0,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']",94.0,64.0,54.400000000000006,48.0,55.5,34.4,27.56348425587205,27.448516185360866,28.50714514044667,False,True,True,False,False,False,True,False,False,False,False,True,True,False,True,False,False,True,False,False
220,Happy Feet (2006),Warner Bros.,198000317.0,186335791.0,384336108.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Music', 'Musical', 'Romance']",108.0,64.0,57.400000000000006,45.199999999999996,55.5,34.5,27.560927499171267,27.47332956992633,28.51779328164956,False,True,True,True,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False
222,Ice Age: Dawn of the Dinosaurs (2009),Twentieth Century Fox,196573705.0,690113112.0,886686817.0,"['Adventure', 'Animation', 'Comedy', 'Family']",94.0,69.0,60.8,51.2,60.3,45.7,27.550495109245094,29.36225760323223,29.723849385219744,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
223,Ice Age: The Meltdown (2006),Twentieth Century Fox,195330621.0,471763885.0,667094506.0,"['Adventure', 'Animation', 'Comedy', 'Family']",91.0,68.0,60.199999999999996,51.0,59.7,41.6,27.541342890105383,28.813489739088585,29.313315918828593,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
227,Madagascar (2005),DreamWorks Distribution,193595521.0,348468325.0,542063846.0,"['Adventure', 'Animation', 'Comedy', 'Family']",86.0,69.0,67.80000000000001,52.2,63.0,41.0,27.528470334098607,28.376452283364042,29.01388754588625,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
229,Cars 2 (2011),Walt Disney Studios Motion Pictures,191452396.0,368400000.0,559852396.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Sport']",106.0,62.0,51.4,40.800000000000004,51.4,35.5,27.51241047452692,28.45669782052815,29.060471272647792,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True
231,Spider-Man: Into the Spider-Verse (2018),Sony Pictures Entertainment (SPE),190241310.0,185299521.0,375540831.0,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']",117.0,84.00000000000001,88.80000000000001,78.60000000000001,83.8,48.5,27.503255313714767,27.46528391109647,28.484394533626084,False,True,True,False,False,False,True,False,False,False,False,True,True,False,True,False,False,True,False,False
234,Wreck-It Ralph (2012),Walt Disney Studios Motion Pictures,189422889.0,281800000.0,471222889.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']",101.0,77.0,71.6,65.99999999999999,71.5,44.0,27.49703542914282,28.070096370746448,28.811834376885233,False,True,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,True,False,False
237,The Polar Express (2004),Warner Bros.,187935490.0,126279964.0,314215454.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical']",100.0,65.99999999999999,63.4,49.2,59.5,35.3,27.485662292127433,26.912050513577757,28.227178897276765,False,True,True,True,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False
239,The Croods (2013),Twentieth Century Fox,187168425.0,400067558.0,587235983.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",98.0,72.0,60.8,53.2,62.0,41.3,27.479761834308327,28.575668402503332,29.129365131410047,False,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False
243,Snow White and the Seven Dwarfs (1937),Walt Disney Studios Motion Pictures,184925486.0,184925486.0,184925486.0,"['Adventure', 'Animation', 'Family', 'Fantasy', 'Musical', 'Romance']",83.0,76.0,69.0,68.8,71.3,38.9,27.462368826415478,27.462368826415478,27.462368826415478,False,False,True,True,False,True,False,False,False,True,False,True,True,False,False,False,False,True,False,False
261,Madagascar: Escape 2 Africa (2008),DreamWorks,180010950.0,423889404.0,603900354.0,"['Adventure', 'Animation', 'Comedy', 'Family']",89.0,65.99999999999999,60.4,49.2,58.5,39.9,27.423509426932792,28.65911266277024,29.16973527777213,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
