Title,Imdb,Letterboxd,Rateyourmusic,,,,,,,
Aladdin (1992),8,3.87,3.47,,,,,,,
Alvin and the Chipmunks (2007),5.2,2.45,1.43,,,,,,,
Saving Private Ryan (1998),8.6,4.17,3.56,,,,,,,
Bohemian Rhapsody (2018),7.9,3.46,2.72,,,,,,,
Ant-Man and the Wasp (2018),7,3.07,2.78,,,,,,,
Madagascar 3: Europe's Most Wanted (2012),6.8,2.89,2.48,,,,,,,
Kung Fu Panda (2008),7.6,3.72,3.12,,,,,,,
Mission: Impossible II (2000),6.1,2.65,2.2,,,,,,,
A Star Is Born (2018),7.6,3.64,3,,,,,,,
X2: X-Men United (2003),7.4,3.41,3.09,,,,,,,
The Lorax (2012),6.4,3,2.08,,,,,,,
Solo: A Star Wars Story (2018),6.9,2.97,2.8,,,,,,,
Venom (2018),6.6,2.9,2.45,,,,,,,
Austin Powers in Goldmember (2002),6.2,2.94,2.47,,,,,,,
Venom: Let There Be Carnage (2021),5.9,2.68,2.37,,,,,,,
It Chapter Two (2019),6.5,2.98,2.45,,,,,,,
Back to the Future (1985),8.5,4.19,3.86,,,,,,,
300 (2006),7.6,3.29,2.62,,,,,,,
Coco (2017),8.4,4.17,3.71,,,,,,,
Fast Five (2011),7.3,3.41,2.8,,,,,,,
Mission: Impossible - Ghost Protocol (2011),7.4,3.65,3.14,,,,,,,
Wedding Crashers (2005),7,3.13,2.64,,,,,,,
Sherlock Holmes (2009),7.6,3.39,2.96,,,,,,,
Dawn of the Planet of the Apes (2014),7.6,3.67,3.19,,,,,,,
Batman Begins (2005),8.2,3.78,3.36,,,,,,,
Charlie and the Chocolate Factory (2005),6.7,3.2,2.53,,,,,,,
Ratatouille (2007),8.1,4.18,3.7,,,,,,,
Thor: The Dark World (2013),6.8,2.4,2.31,,,,,,,
Bad Boys for Life (2020),6.5,3,2.55,,,,,,,
Austin Powers: The Spy Who Shagged Me (1999),6.6,3.22,2.82,,,,,,,
Terminator 2: Judgment Day (1991),8.6,4.21,3.96,,,,,,,
The Amazing Spider-Man 2 (2014),6.6,2.87,2.1,,,,,,,
World War Z (2013),7,3.09,2.51,,,,,,,
The Mummy Returns (2001),6.4,2.92,2.23,,,,,,,
Armageddon (1998),6.7,2.99,1.99,,,,,,,
Cinderella (2015),6.9,3.19,2.6,,,,,,,
Ralph Breaks the Internet (2018),7,3.01,2.73,,,,,,,
Tangled (2010),7.7,3.91,3.21,,,,,,,
Godzilla (2014),6.4,3.02,2.65,,,,,,,
Superman Returns (2006),6.1,2.57,2.25,,,,,,,
