,Title,Domestic Sales (in $),International Sales (in $),World Sales (in $),Genre,Release Year
42,Harry Potter and the Deathly Hallows: Part 2 ,381409310,960912354,1342321665,adventure,2011
42,Harry Potter and the Deathly Hallows: Part 2 ,381409310,960912354,1342321665,fantasy,2011
42,Harry Potter and the Deathly Hallows: Part 2 ,381409310,960912354,1342321665,mystery,2011
43,Finding Nemo ,380843261,559509384,940352645,adventure,2003
43,Finding Nemo ,380843261,559509384,940352645,animation,2003
43,Finding Nemo ,380843261,559509384,940352645,comedy,2003
43,Finding Nemo ,380843261,559509384,940352645,family,2003
44,Star Wars: Episode III - Revenge of the Sith ,380270577,488119983,868390560,action,2005
44,Star Wars: Episode III - Revenge of the Sith ,380270577,488119983,868390560,adventure,2005
44,Star Wars: Episode III - Revenge of the Sith ,380270577,488119983,868390560,fantasy,2005
44,Star Wars: Episode III - Revenge of the Sith ,380270577,488119983,868390560,scifi,2005
45,The Lord of the Rings: The Return of the King ,377845905,768185007,1146030912,action,2003
45,The Lord of the Rings: The Return of the King ,377845905,768185007,1146030912,adventure,2003
45,The Lord of the Rings: The Return of the King ,377845905,768185007,1146030912,drama,2003
45,The Lord of the Rings: The Return of the King ,377845905,768185007,1146030912,fantasy,2003
46,Spider-Man 2 ,373585825,415390628,788976453,action,2004
46,Spider-Man 2 ,373585825,415390628,788976453,adventure,2004
46,Spider-Man 2 ,373585825,415390628,788976453,scifi,2004
47,The Passion of the Christ ,370782930,241271576,612054506,drama,2004
48,The Secret Life of Pets ,368384330,507074301,875458631,adventure,2016
48,The Secret Life of Pets ,368384330,507074301,875458631,animation,2016
48,The Secret Life of Pets ,368384330,507074301,875458631,comedy,2016
48,The Secret Life of Pets ,368384330,507074301,875458631,family,2016
49,Despicable Me 2 ,368065385,602700620,970766005,adventure,2013
49,Despicable Me 2 ,368065385,602700620,970766005,animation,2013
49,Despicable Me 2 ,368065385,602700620,970766005,comedy,2013
49,Despicable Me 2 ,368065385,602700620,970766005,crime,2013
49,Despicable Me 2 ,368065385,602700620,970766005,family,2013
49,Despicable Me 2 ,368065385,602700620,970766005,scifi,2013
50,The Jungle Book ,364001123,602553806,966554929,adventure,2016
50,The Jungle Book ,364001123,602553806,966554929,drama,2016
50,The Jungle Book ,364001123,602553806,966554929,family,2016
50,The Jungle Book ,364001123,602553806,966554929,fantasy,2016
51,Deadpool ,363070709,419766082,782836791,action,2016
51,Deadpool ,363070709,419766082,782836791,adventure,2016
51,Deadpool ,363070709,419766082,782836791,comedy,2016
51,Deadpool ,363070709,419766082,782836791,scifi,2016
52,Inside Out ,356921711,501926308,858848019,adventure,2015
52,Inside Out ,356921711,501926308,858848019,animation,2015
52,Inside Out ,356921711,501926308,858848019,comedy,2015
52,Inside Out ,356921711,501926308,858848019,drama,2015
52,Inside Out ,356921711,501926308,858848019,family,2015
52,Inside Out ,356921711,501926308,858848019,fantasy,2015
52,Inside Out ,356921711,501926308,858848019,scifi,2015
53,Aladdin ,355559216,695134737,1050693953,adventure,2019
53,Aladdin ,355559216,695134737,1050693953,comedy,2019
53,Aladdin ,355559216,695134737,1050693953,family,2019
53,Aladdin ,355559216,695134737,1050693953,fantasy,2019
53,Aladdin ,355559216,695134737,1050693953,musical,2019
53,Aladdin ,355559216,695134737,1050693953,romance,2019
54,Furious 7 ,353007020,1162334379,1515341399,action,2015
54,Furious 7 ,353007020,1162334379,1515341399,thriller,2015
55,Transformers: Dark of the Moon ,352390543,771403536,1123794079,action,2011
55,Transformers: Dark of the Moon ,352390543,771403536,1123794079,adventure,2011
55,Transformers: Dark of the Moon ,352390543,771403536,1123794079,scifi,2011
56,American Sniper ,350126372,197300000,547426372,action,2014
56,American Sniper ,350126372,197300000,547426372,biography,2014
56,American Sniper ,350126372,197300000,547426372,drama,2014
56,American Sniper ,350126372,197300000,547426372,war,2014
57,The Lord of the Rings: The Two Towers ,342551365,604943730,947495095,action,2002
57,The Lord of the Rings: The Two Towers ,342551365,604943730,947495095,adventure,2002
57,The Lord of the Rings: The Two Towers ,342551365,604943730,947495095,drama,2002
57,The Lord of the Rings: The Two Towers ,342551365,604943730,947495095,fantasy,2002
58,Zootopia ,341268248,682852856,1024121104,adventure,2016
58,Zootopia ,341268248,682852856,1024121104,animation,2016
58,Zootopia ,341268248,682852856,1024121104,comedy,2016
58,Zootopia ,341268248,682852856,1024121104,crime,2016
58,Zootopia ,341268248,682852856,1024121104,family,2016
58,Zootopia ,341268248,682852856,1024121104,mystery,2016
59,The Hunger Games: Mockingjay - Part 1 ,337135885,418220826,755356711,action,2014
59,The Hunger Games: Mockingjay - Part 1 ,337135885,418220826,755356711,adventure,2014
59,The Hunger Games: Mockingjay - Part 1 ,337135885,418220826,755356711,scifi,2014
59,The Hunger Games: Mockingjay - Part 1 ,337135885,418220826,755356711,thriller,2014
60,Spider-Man 3 ,336530303,558453070,894983373,action,2007
60,Spider-Man 3 ,336530303,558453070,894983373,adventure,2007
60,Spider-Man 3 ,336530303,558453070,894983373,scifi,2007
61,Minions ,336045770,823398892,1159444662,adventure,2015
61,Minions ,336045770,823398892,1159444662,animation,2015
61,Minions ,336045770,823398892,1159444662,comedy,2015
61,Minions ,336045770,823398892,1159444662,crime,2015
61,Minions ,336045770,823398892,1159444662,family,2015
61,Minions ,336045770,823398892,1159444662,scifi,2015
62,Joker ,335451311,738968073,1074419384,crime,2019
62,Joker ,335451311,738968073,1074419384,drama,2019
62,Joker ,335451311,738968073,1074419384,thriller,2019
63,Aquaman ,335061807,813424079,1148485886,action,2018
63,Aquaman ,335061807,813424079,1148485886,adventure,2018
63,Aquaman ,335061807,813424079,1148485886,fantasy,2018
63,Aquaman ,335061807,813424079,1148485886,scifi,2018
64,Spider-Man: Homecoming ,334201140,545965784,880166924,action,2017
64,Spider-Man: Homecoming ,334201140,545965784,880166924,adventure,2017
64,Spider-Man: Homecoming ,334201140,545965784,880166924,scifi,2017
65,Alice in Wonderland ,334191110,691277106,1025468216,adventure,2010
65,Alice in Wonderland ,334191110,691277106,1025468216,family,2010
65,Alice in Wonderland ,334191110,691277106,1025468216,fantasy,2010
65,Alice in Wonderland ,334191110,691277106,1025468216,mystery,2010
66,Guardians of the Galaxy ,333718600,439631547,773350147,action,2014
66,Guardians of the Galaxy ,333718600,439631547,773350147,adventure,2014
66,Guardians of the Galaxy ,333718600,439631547,773350147,comedy,2014
66,Guardians of the Galaxy ,333718600,439631547,773350147,scifi,2014
67,Forrest Gump ,330455270,347770863,678226133,drama,1994
67,Forrest Gump ,330455270,347770863,678226133,romance,1994
68,Batman v Superman: Dawn of Justice ,330360194,543277334,873637528,action,2016
68,Batman v Superman: Dawn of Justice ,330360194,543277334,873637528,adventure,2016
68,Batman v Superman: Dawn of Justice ,330360194,543277334,873637528,scifi,2016
69,It ,328828874,372967570,701796444,horror,2017
70,Suicide Squad ,325100054,421746840,746846894,action,2016
70,Suicide Squad ,325100054,421746840,746846894,adventure,2016
70,Suicide Squad ,325100054,421746840,746846894,fantasy,2016
70,Suicide Squad ,325100054,421746840,746846894,scifi,2016
71,Deadpool 2 ,324591735,461304874,785896609,action,2018
71,Deadpool 2 ,324591735,461304874,785896609,adventure,2018
71,Deadpool 2 ,324591735,461304874,785896609,comedy,2018
71,Deadpool 2 ,324591735,461304874,785896609,scifi,2018
72,Shrek the Third ,322719944,490647436,813367380,adventure,2007
72,Shrek the Third ,322719944,490647436,813367380,animation,2007
72,Shrek the Third ,322719944,490647436,813367380,comedy,2007
72,Shrek the Third ,322719944,490647436,813367380,family,2007
72,Shrek the Third ,322719944,490647436,813367380,fantasy,2007
72,Shrek the Third ,322719944,490647436,813367380,romance,2007
73,Jumanji: The Next Level ,320314960,479744747,800059707,action,2019
73,Jumanji: The Next Level ,320314960,479744747,800059707,adventure,2019
73,Jumanji: The Next Level ,320314960,479744747,800059707,comedy,2019
73,Jumanji: The Next Level ,320314960,479744747,800059707,fantasy,2019
74,Transformers ,319246193,390463587,709709780,action,2007
74,Transformers ,319246193,390463587,709709780,adventure,2007
74,Transformers ,319246193,390463587,709709780,scifi,2007
75,Iron Man ,319034126,266762121,585796247,action,2008
75,Iron Man ,319034126,266762121,585796247,adventure,2008
75,Iron Man ,319034126,266762121,585796247,scifi,2008
76,Harry Potter and the Sorcerer's Stone ,318087620,698725454,1016813075,adventure,2001
76,Harry Potter and the Sorcerer's Stone ,318087620,698725454,1016813075,family,2001
76,Harry Potter and the Sorcerer's Stone ,318087620,698725454,1016813075,fantasy,2001
77,Indiana Jones and the Kingdom of the Crystal Skull ,317101119,473552823,790653942,action,2008
77,Indiana Jones and the Kingdom of the Crystal Skull ,317101119,473552823,790653942,adventure,2008
78,The Lord of the Rings: The Fellowship of the Ring ,315710750,581979322,897690072,action,2001
78,The Lord of the Rings: The Fellowship of the Ring ,315710750,581979322,897690072,adventure,2001
78,The Lord of the Rings: The Fellowship of the Ring ,315710750,581979322,897690072,drama,2001
78,The Lord of the Rings: The Fellowship of the Ring ,315710750,581979322,897690072,fantasy,2001
79,Thor: Ragnarok ,315058289,538925622,853983911,action,2017
79,Thor: Ragnarok ,315058289,538925622,853983911,adventure,2017
79,Thor: Ragnarok ,315058289,538925622,853983911,comedy,2017
79,Thor: Ragnarok ,315058289,538925622,853983911,fantasy,2017
79,Thor: Ragnarok ,315058289,538925622,853983911,scifi,2017
80,Iron Man 2 ,312433331,311500000,623933331,action,2010
80,Iron Man 2 ,312433331,311500000,623933331,adventure,2010
80,Iron Man 2 ,312433331,311500000,623933331,scifi,2010
81,Star Wars: Episode II - Attack of the Clones ,310676740,343103230,653779970,action,2002
81,Star Wars: Episode II - Attack of the Clones ,310676740,343103230,653779970,adventure,2002
81,Star Wars: Episode II - Attack of the Clones ,310676740,343103230,653779970,fantasy,2002
81,Star Wars: Episode II - Attack of the Clones ,310676740,343103230,653779970,scifi,2002
82,Pirates of the Caribbean: At World's End ,309420425,651576067,960996492,action,2007
82,Pirates of the Caribbean: At World's End ,309420425,651576067,960996492,adventure,2007
82,Pirates of the Caribbean: At World's End ,309420425,651576067,960996492,fantasy,2007
83,Star Wars: Episode VI - Return of the Jedi ,309306177,122009457,475106177,action,1983
83,Star Wars: Episode VI - Return of the Jedi ,309306177,122009457,475106177,adventure,1983
83,Star Wars: Episode VI - Return of the Jedi ,309306177,122009457,475106177,fantasy,1983
83,Star Wars: Episode VI - Return of the Jedi ,309306177,122009457,475106177,scifi,1983
84,Independence Day ,306169268,511231623,817400891,action,1996
84,Independence Day ,306169268,511231623,817400891,adventure,1996
84,Independence Day ,306169268,511231623,817400891,scifi,1996
85,Pirates of the Caribbean: The Curse of the Black Pearl ,305413918,348850097,654264015,action,2003
85,Pirates of the Caribbean: The Curse of the Black Pearl ,305413918,348850097,654264015,adventure,2003
85,Pirates of the Caribbean: The Curse of the Black Pearl ,305413918,348850097,654264015,fantasy,2003
86,Skyfall ,304360277,804209222,1108569499,action,2012
86,Skyfall ,304360277,804209222,1108569499,adventure,2012
86,Skyfall ,304360277,804209222,1108569499,thriller,2012
87,The Hobbit: An Unexpected Journey ,303003568,714000000,1017003568,adventure,2012
87,The Hobbit: An Unexpected Journey ,303003568,714000000,1017003568,fantasy,2012
88,Harry Potter and the Half-Blood Prince ,302305431,632148664,934454096,action,2009
88,Harry Potter and the Half-Blood Prince ,302305431,632148664,934454096,adventure,2009
88,Harry Potter and the Half-Blood Prince ,302305431,632148664,934454096,family,2009
88,Harry Potter and the Half-Blood Prince ,302305431,632148664,934454096,fantasy,2009
88,Harry Potter and the Half-Blood Prince ,302305431,632148664,934454096,mystery,2009
89,The Twilight Saga: Eclipse ,300531751,397959596,698491347,action,2010
89,The Twilight Saga: Eclipse ,300531751,397959596,698491347,adventure,2010
89,The Twilight Saga: Eclipse ,300531751,397959596,698491347,drama,2010
89,The Twilight Saga: Eclipse ,300531751,397959596,698491347,fantasy,2010
89,The Twilight Saga: Eclipse ,300531751,397959596,698491347,romance,2010
89,The Twilight Saga: Eclipse ,300531751,397959596,698491347,thriller,2010
90,The Twilight Saga: New Moon ,297816253,413209228,711025481,adventure,2009
90,The Twilight Saga: New Moon ,297816253,413209228,711025481,drama,2009
90,The Twilight Saga: New Moon ,297816253,413209228,711025481,fantasy,2009
90,The Twilight Saga: New Moon ,297816253,413209228,711025481,romance,2009
91,Harry Potter and the Deathly Hallows: Part 1 ,296347721,680695761,977043483,adventure,2010
91,Harry Potter and the Deathly Hallows: Part 1 ,296347721,680695761,977043483,family,2010
