,Title,Distributor,Domestic Sales (in $),International Sales (in $),World Sales (in $),Genre,Runtime (Min),Imdb Standardized,Letterboxd Standardized,Rateyourmusic Standardized,Average Rating,Worldwide Popularity,Domestic Sales (Log),International Sales (Log),World Sales (Log),Mystery,Thriller,Music,Drama,Comedy,Western,Crime,History,Horror,Biography,Musical,Sci-Fi,Romance,Adventure,Action,Family,Fantasy,Animation,Sport,War
187,The Lorax (2012),Universal Pictures,214030500.0,134809816.0,348840316.0,"['Adventure', 'Animation', 'Comedy', 'Drama', 'Family', 'Fantasy', 'Musical']",86.0,64.0,60.0,41.6,55.2,33.7,27.673241158825203,27.006350307391173,28.377991543285145,False,False,True,True,True,False,False,False,False,False,True,False,False,True,False,True,True,True,False,False
195,Coco (2017),Walt Disney Studios Motion Pictures,210460015.0,597357873.0,807817888.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Music', 'Mystery']",105.0,84.00000000000001,83.39999999999999,74.2,80.5,54.4,27.648970922838462,29.154020258285968,29.58945485196233,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,True,True,False,False
203,Ratatouille (2007),Walt Disney Studios Motion Pictures,206445654.0,417280431.0,623726085.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",111.0,81.0,83.6,74.0,79.5,50.7,27.621186806972915,28.636442023910035,29.21633735457752,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True,True,False,False
213,Ralph Breaks the Internet (2018),Walt Disney Studios Motion Pictures,201091711.0,328232251.0,529323962.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']",112.0,70.0,60.199999999999996,54.6,61.6,40.1,27.58327837408053,28.29014175929065,28.97957572400327,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,True,True,False,False
214,Tangled (2010),Walt Disney Studios Motion Pictures,200821936.0,391640880.0,592462816.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical', 'Romance']",100.0,77.0,78.2,64.2,73.1,47.0,27.581341624154206,28.54495612234259,29.14214936989326,False,False,True,False,True,False,False,False,False,False,True,False,True,True,False,True,True,True,False,False
219,Monsters vs. Aliens (2009),DreamWorks,198351526.0,183158344.0,381509870.0,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']",94.0,64.0,54.400000000000006,48.0,55.5,34.4,27.56348425587205,27.448516185360866,28.50714514044667,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True,True,True,True,False,False
220,Happy Feet (2006),Warner Bros.,198000317.0,186335791.0,384336108.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Music', 'Musical', 'Romance']",108.0,64.0,57.400000000000006,45.199999999999996,55.5,34.5,27.560927499171267,27.47332956992633,28.51779328164956,False,False,True,False,True,False,False,False,False,False,True,False,True,True,False,True,False,True,False,False
222,Ice Age: Dawn of the Dinosaurs (2009),Twentieth Century Fox,196573705.0,690113112.0,886686817.0,"['Adventure', 'Animation', 'Comedy', 'Family']",94.0,69.0,60.8,51.2,60.3,45.7,27.550495109245094,29.36225760323223,29.723849385219744,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False
223,Ice Age: The Meltdown (2006),Twentieth Century Fox,195330621.0,471763885.0,667094506.0,"['Adventure', 'Animation', 'Comedy', 'Family']",91.0,68.0,60.199999999999996,51.0,59.7,41.6,27.541342890105383,28.813489739088585,29.313315918828593,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False
227,Madagascar (2005),DreamWorks Distribution,193595521.0,348468325.0,542063846.0,"['Adventure', 'Animation', 'Comedy', 'Family']",86.0,69.0,67.80000000000001,52.2,63.0,41.0,27.528470334098607,28.376452283364042,29.01388754588625,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False
229,Cars 2 (2011),Walt Disney Studios Motion Pictures,191452396.0,368400000.0,559852396.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Sport']",106.0,62.0,51.4,40.800000000000004,51.4,35.5,27.51241047452692,28.45669782052815,29.060471272647792,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False
230,Teenage Mutant Ninja Turtles (2014),Paramount Pictures,191204754.0,293800000.0,485004754.0,"['Action', 'Adventure', 'Animation', 'Comedy', 'Sci-Fi']",101.0,57.99999999999999,46.6,37.6,47.4,32.2,27.51054315316526,28.13025915499309,28.85342364771539,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False
231,Spider-Man: Into the Spider-Verse (2018),Sony Pictures Entertainment (SPE),190241310.0,185299521.0,375540831.0,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']",117.0,84.00000000000001,88.80000000000001,78.60000000000001,83.8,48.5,27.503255313714767,27.46528391109647,28.484394533626084,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True,True,True,True,False,False
234,Wreck-It Ralph (2012),Walt Disney Studios Motion Pictures,189422889.0,281800000.0,471222889.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']",101.0,77.0,71.6,65.99999999999999,71.5,44.0,27.49703542914282,28.070096370746448,28.811834376885233,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,True,True,False,False
237,The Polar Express (2004),Warner Bros.,187935490.0,126279964.0,314215454.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical']",100.0,65.99999999999999,63.4,49.2,59.5,35.3,27.485662292127433,26.912050513577757,28.227178897276765,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,True,True,True,False,False
239,The Croods (2013),Twentieth Century Fox,187168425.0,400067558.0,587235983.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",98.0,72.0,60.8,53.2,62.0,41.3,27.479761834308327,28.575668402503332,29.129365131410047,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True,True,False,False
243,Snow White and the Seven Dwarfs (1937),Walt Disney Studios Motion Pictures,184925486.0,184925486.0,184925486.0,"['Adventure', 'Animation', 'Family', 'Fantasy', 'Musical', 'Romance']",83.0,76.0,69.0,68.8,71.3,38.9,27.462368826415478,27.462368826415478,27.462368826415478,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,True,True,True,False,False
251,The Simpsons Movie (2007),Twentieth Century Fox,183135014.0,353279279.0,536414293.0,"['Adventure', 'Animation', 'Comedy']",87.0,73.0,67.4,58.8,66.4,42.6,27.44833240875332,28.39623389196568,28.998772438111413,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
261,Madagascar: Escape 2 Africa (2008),DreamWorks,180010950.0,423889404.0,603900354.0,"['Adventure', 'Animation', 'Comedy', 'Family']",89.0,65.99999999999999,60.4,49.2,58.5,39.9,27.423509426932792,28.65911266277024,29.16973527777213,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False
267,Home (2015),Twentieth Century Fox,177397510.0,208644097.0,386041607.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']",94.0,65.99999999999999,54.800000000000004,44.400000000000006,55.1,34.3,27.402410518817565,27.636468863264565,28.524181106534435,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,True,True,False,False
270,How to Train Your Dragon 2 (2014),Twentieth Century Fox,177002924.0,444534595.0,621537519.0,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",102.0,78.0,73.6,64.4,72.0,46.9,27.399197952206357,28.727720457327884,29.211266241030685,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False
276,Ice Age (2002),Twentieth Century Fox,176387405.0,206869731.0,383257136.0,"['Adventure', 'Animation', 'Comedy', 'Family']",81.0,75.0,69.19999999999999,58.60000000000001,67.6,40.5,27.39417230756367,27.62414732584908,28.51373741328163,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False
278,The Lego Batman Movie (2017),Warner Bros.,175750384.0,136200000.0,311950384.0,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']",104.0,73.0,75.0,65.6,71.2,41.1,27.38895260056906,27.021151462448884,28.21674134443854,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True,True,True,True,False,False
280,The Boss Baby (2017),Twentieth Century Fox,175003033.0,352962903.0,527965936.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",97.0,63.0,51.0,42.00000000000001,52.0,35.3,27.382804684905878,28.394941320866355,28.975869609990948,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True,True,False,False
295,Tarzan (1999),Walt Disney Studios Motion Pictures,171091819.0,277100000.0,448191819.0,"['Adventure', 'Animation', 'Comedy', 'Drama', 'Family', 'Music']",88.0,73.0,72.8,57.400000000000006,67.7,41.7,27.350195536048926,28.04583146991823,28.739541074176906,False,False,True,True,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False
300,Hotel Transylvania 2 (2015),Sony Pictures Entertainment (SPE),169700110.0,305486596.0,475186706.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Horror']",89.0,70.0,58.60000000000001,48.0,58.9,37.8,27.338412259138007,28.18653383862385,28.823919234429173,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,True,True,False,False
308,Hotel Transylvania 3: Summer Vacation (2018),Sony Pictures Entertainment (SPE),167510016.0,361073758.0,528583774.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Horror']",97.0,63.0,54.400000000000006,45.4,54.3,36.4,27.319672120946993,28.427718331479085,28.977556898174054,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,True,True,False,False
315,Kung Fu Panda 2 (2011),DreamWorks,165249063.0,500443218.0,665692281.0,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",90.0,72.0,70.8,60.0,67.6,45.5,27.300066850444054,28.898631144329904,29.310280198757134,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False
323,The SpongeBob Movie: Sponge Out of Water (2015),Paramount Pictures,162994032.0,162192000.0,325186032.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",92.0,60.0,53.2,53.400000000000006,55.5,33.5,27.28024390047777,27.273127420547045,28.27669004850102,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True,True,False,False
